timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
1777227254569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.038563166,0.009266549,3.3518524e-10,-0.03217807,0.01254579,-9.812683,-0.0064341975,-0.031595744,-0.010482203,0.00086989976,0.0021692945,0.0018945633,0.00014581843,0.00018233969,4.477024e-05,0.0,0.0
1777227255569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03819817,0.007859316,7.4385526e-11,-0.014748283,-0.021739181,-9.813354,0.0027483823,0.005006743,0.0046019424,0.0006934436,0.0014540304,0.0009018827,1.7723503e-05,0.00010196547,3.9454702e-05,0.0,0.0
1777227256569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.038241565,0.007633572,1.2418715e-10,-0.0057460843,-0.028347177,-9.808086,-0.00294013,0.010524813,0.00660464,0.0015849539,0.0010712913,0.00063054496,4.974439e-05,5.0410134e-05,6.541582e-05,0.0,0.0
1777227257569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03721603,0.008277336,7.571751e-11,-0.01283292,-0.003351712,-9.804831,-0.001022654,-0.0016618127,0.0007243798,0.0010446365,0.00094581326,0.0008141165,4.851031e-05,0.00013299058,1.4962185e-05,0.0,0.0
1777227258569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.041298352,0.008105117,1.3712251e-10,0.006703765,-0.0087147225,-9.794008,0.00087351695,-0.0116113825,-0.0020879186,0.0012410218,0.0015481149,0.0012713727,0.00010210447,4.397305e-05,6.241147e-05,0.0,0.0
1777227259569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039934374,0.008284209,1.04553165e-10,-0.0062249238,0.0011493879,-9.79918,0.00066046405,-0.0077764303,-0.0011717909,0.0014077332,0.0006860108,0.00127366,5.9322956e-05,6.891476e-05,5.2294832e-05,0.0,0.0
1777227260569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.04044646,0.007954065,8.926522e-11,0.0035434188,0.009002368,-9.790752,0.0019387812,0.0021944446,0.0013209279,0.00065257296,0.0010816092,0.0010097809,5.3403135e-05,6.128614e-05,5.0075374e-05,0.0,0.0
1777227261569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03839352,0.00823984,1.10365876e-10,-0.011779472,-0.00038290152,-9.798223,0.0026205506,-0.0010439592,0.0007669903,0.0005349673,0.0015523185,0.0010796351,2.0542508e-05,0.00021727603,2.4849029e-05,0.0,0.0
1777227262569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.037223242,0.008347898,9.744595e-11,0.012258313,0.0032562856,-9.810193,-0.00021305306,0.001470065,-0.003025351,0.0016023032,0.000898943,0.00096212747,6.402098e-05,5.892105e-05,4.6212364e-05,0.0,0.0
1777227263569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039022446,0.008479984,1.1338176e-10,-0.0071826046,0.013024628,-9.805406,-0.001470065,0.0014487597,0.0007669905,0.00062098855,0.0009620927,0.00095065765,3.8967686e-05,0.00016897754,6.787642e-05,0.0,0.0
