timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
1777320737221000,1777320737141000,13421772800,8.940922e-05,0.00035395572,0.0008113404,0,1.2110355,7.138187,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737229000,1777320737149000,13421772800,7.942776e-05,0.000348224,0.0007837132,0,1.264017,7.142225,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737237000,1777320737157000,13421772800,6.987015e-05,0.00034254702,0.00075706,0,1.3179634,7.1463733,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737245000,1777320737165000,13421772800,6.0979342e-05,0.00033731476,0.0007312709,0,1.3727509,7.150632,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737253000,1777320737173000,13421772800,5.2751748e-05,0.00033218737,0.0007063498,0,1.4282733,7.1549997,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737261000,1777320737181000,13421772800,4.5182438e-05,0.00032775683,0.0006818888,0,1.4844393,7.1594763,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737269000,1777320737189000,13421772800,3.8267208e-05,0.00032236776,0.0006584094,0,1.54117,7.164061,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737277000,1777320737197000,13421772800,3.2006945e-05,0.00031797832,0.0006359652,0,1.5983976,7.168753,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737285000,1777320737205000,13488881664,2.640754e-05,0.0003119258,0.00061401306,0,1.656063,7.1735525,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737293000,1777320737213000,13488881664,2.0592699e-05,0.045456424,0.017923424,0,0.7071196,7.0710707,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737301000,1777320737221000,13488881664,1.7997765e-05,0.04400671,0.017708624,0,0.7071196,7.0710707,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737309000,1777320737229000,13488881664,2.7348673e-05,0.042599466,0.01436561,0,0.01413804,5.7735043,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737317000,1777320737237000,13488881664,2.7492686e-05,0.041232605,0.014259623,0,0.014140005,5.7735043,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737325000,1777320737245000,13488881664,2.8199098e-05,0.03990513,0.014156199,0,0.0141509725,5.7735043,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737333000,1777320737253000,13488881664,2.9255143e-05,0.038616117,0.014054848,0,0.014180392,5.7735043,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737341000,1777320737261000,13488881664,3.0493718e-05,0.03736466,0.01395508,0,0.0142406775,5.7735043,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737349000,1777320737269000,13488881664,3.1791693e-05,0.036149286,0.0138575025,0,0.014346981,5.7735043,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737357000,1777320737277000,13488881664,3.307109e-05,0.03496955,0.013761653,0,0.014516881,5.7735043,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737365000,1777320737285000,13488881664,3.427968e-05,0.03382397,0.013667598,0,0.014769511,5.7735043,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737373000,1777320737293000,13488881664,3.5392466e-05,0.03271177,0.013575752,0,0.015124779,5.7735043,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737381000,1777320737301000,13488881664,3.503041e-05,0.031631734,0.01347365,0,0.015601784,5.7735043,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
