timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
1777227221181000,1777227221029000,17764060236391,0.00016057168,0.0008444865,0.0013244544,0,0.11968278,0.11281867,0.01524213,0.009455753,0.0043753297,0.00440089,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.378174,63.1572,0.48207444,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221189000,1777227221037000,17764060236391,0.00015770491,0.0007522832,0.001183398,0,0.12008337,0.11306931,0.01524213,0.009455753,0.0043753297,0.00440089,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.378174,63.1572,0.48207444,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221197000,1777227221045000,17764060236391,0.00013506542,0.0006106709,0.001066435,0,0.12048446,0.113261946,0.017961314,0.009455753,0.0043753297,0.0043615666,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.00801,63.1572,0.47170195,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221213000,1777227221061000,17764060236391,0.00012861298,0.00049227814,0.0008960225,0,0.12129922,0.11376718,0.017961314,0.009455753,0.0043753297,0.0043615666,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.00801,63.1572,0.47170195,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221221000,1777227221069000,17764060236391,0.00012374735,0.00046284686,0.00086714,0,0.12171073,0.11402106,0.017961314,0.009455753,0.0043753297,0.0043615666,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.00801,63.1572,0.47170195,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221229000,1777227221077000,17764060236391,0.000118952834,0.00045648945,0.0008741777,0,0.122125015,0.11427579,0.017961314,0.009455753,0.0043753297,0.0043615666,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.00801,63.1572,0.47170195,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221237000,1777227221085000,17764060236391,0.00011806771,0.0007402811,0.0009652043,0,0.11987823,0.11294213,0.017961314,0.0092907185,0.0042144824,0.004433444,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.00801,63.1572,0.47170195,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221253000,1777227221101000,17764060236391,0.0001091746,0.00062729255,0.00074224273,0,0.12068474,0.11338628,0.017961314,0.0092907185,0.0042144824,0.004397156,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.00801,63.1572,0.47170195,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221261000,1777227221109000,17764060236391,0.00010494909,0.0005970498,0.00068538287,0,0.121092126,0.113638885,0.017961314,0.0092907185,0.0042144824,0.004397156,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.00801,63.1572,0.47170195,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221269000,1777227221117000,17764060236391,0.00010010337,0.00058170204,0.00067146437,0,0.121499896,0.11389234,0.016865078,0.0092907185,0.0042144824,0.004397156,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.41945,63.1572,0.48033535,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221277000,1777227221125000,17764060236391,9.627068e-05,0.000587349,0.00070478616,0,0.12191273,0.11414663,0.016865078,0.0092907185,0.0042144824,0.004397156,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.41945,63.1572,0.48033535,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221293000,1777227221141000,17764060236391,0.00011214001,0.0008651145,0.0011895857,0,0.12008195,0.11306878,0.016865078,0.009205058,0.0047160904,0.0045477557,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.41945,63.1572,0.48033535,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221301000,1777227221149000,17764060236391,0.00010870294,0.00079893664,0.0010552088,0,0.12048524,0.11326141,0.016865078,0.009205058,0.0047160904,0.004531011,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.41945,63.1572,0.48033535,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221309000,1777227221157000,17764060236391,0.0001054156,0.00074655574,0.00094182836,0,0.12089128,0.113513604,0.016865078,0.009205058,0.0047160904,0.004531011,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.41945,63.1572,0.48033535,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221317000,1777227221165000,17764060236391,0.00010233036,0.0007089159,0.000860324,0,0.12130007,0.11376664,0.016865078,0.009205058,0.0047160904,0.004531011,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.41945,63.1572,0.48033535,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221333000,1777227221181000,17764060236391,0.000104531435,0.0008623937,0.0008824737,0,0.12212348,0.11427524,0.018863313,0.009205058,0.0047160904,0.004531011,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.224876,63.1572,0.48496217,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221341000,1777227221189000,17764060236391,0.00012322508,0.0011737297,0.0015328224,0,0.11987721,0.11294161,0.018863313,0.009073069,0.0051074615,0.0045958646,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.224876,63.1572,0.48496217,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221349000,1777227221197000,17764060236391,0.00011993046,0.0011003605,0.0013840627,0,0.12027909,0.113134,0.018863313,0.009073069,0.0051074615,0.004571272,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.224876,63.1572,0.48496217,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221357000,1777227221205000,17764060236391,0.000116884854,0.0010374017,0.0012550455,0,0.1206837,0.11338575,0.018863313,0.009073069,0.0051074615,0.004571272,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.224876,63.1572,0.48496217,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221373000,1777227221221000,17764060236391,0.00011124037,0.00094897713,0.0010727042,0,0.12150116,0.113891795,0.018863313,0.009073069,0.0051074615,0.004571272,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.224876,63.1572,0.48496217,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221381000,1777227221229000,17764060236391,0.000108632536,0.00092224404,0.001025937,0,0.12191403,0.11414609,0.018863313,0.009073069,0.0051074615,0.004571272,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.224876,63.1572,0.48496217,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221389000,1777227221237000,17764060236391,0.00012642966,0.001233009,0.0015098267,0,0.11968251,0.112817645,0.018863313,0.008899029,0.0050775246,0.004524436,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.224876,63.1572,0.48496217,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221397000,1777227221245000,17764060236391,0.00012356792,0.0011648947,0.0013766545,0,0.1200831,0.11306827,0.018863313,0.008899029,0.0050775246,0.004524436,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.224876,63.1572,0.48496217,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221413000,1777227221261000,17764060236391,0.00011803818,0.0010884372,0.0012125843,0,0.12089021,0.113513075,0.018029533,0.008899029,0.0050775246,0.0043315357,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.268345,63.1572,0.48200485,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221421000,1777227221269000,17764060236391,0.00011515186,0.0010517812,0.0011633182,0,0.12129897,0.113766104,0.018029533,0.008899029,0.0050775246,0.0043315357,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.268345,63.1572,0.48200485,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221429000,1777227221277000,17764060236391,0.00011237394,0.0010255114,0.0011432657,0,0.12171049,0.114019975,0.018029533,0.008899029,0.0050775246,0.0043315357,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.268345,63.1572,0.48200485,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221437000,1777227221285000,17764060236391,0.000115112234,0.0010138035,0.0011405112,0,0.12212435,0.11427469,0.018029533,0.008899029,0.0050775246,0.0043315357,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.268345,63.1572,0.48200485,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221453000,1777227221301000,17764060236391,0.00012775959,0.0013687513,0.0017197535,0,0.12027989,0.11313347,0.018029533,0.008703354,0.005378894,0.004159587,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.268345,63.1572,0.48200485,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221461000,1777227221309000,17764060236391,0.00012479511,0.0013218686,0.0016647491,0,0.12068452,0.113385215,0.018029533,0.008703354,0.005378894,0.004159587,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.268345,63.1572,0.48200485,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221469000,1777227221317000,17764060236391,0.00012420284,0.0012684393,0.0016055817,0,0.12108957,0.11363781,0.016938727,0.008703354,0.005378894,0.004159587,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.44083,63.1572,0.48179016,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221477000,1777227221325000,17764060236391,0.00012177599,0.0012454549,0.0015953487,0,0.12149965,0.11389125,0.016938727,0.008703354,0.005378894,0.004159587,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.44083,63.1572,0.48179016,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221493000,1777227221341000,17764060236391,0.00013866647,0.0016964343,0.0023759578,0,0.119681165,0.112817116,0.016938727,0.008460929,0.005616691,0.0040110094,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.44083,63.1572,0.48179016,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221501000,1777227221349000,17764060236391,0.00013575947,0.0016441203,0.0023053256,0,0.120081715,0.11306774,0.016938727,0.008460929,0.005616691,0.0040110094,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.44083,63.1572,0.48179016,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221509000,1777227221357000,17764060236391,0.00013290402,0.0015995894,0.0022477442,0,0.12048501,0.11326036,0.016938727,0.008460929,0.005616691,0.003986537,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.44083,63.1572,0.48179016,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221517000,1777227221365000,17764060236391,0.00013013263,0.0015619289,0.0022034277,0,0.120891035,0.113512546,0.016938727,0.008460929,0.005616691,0.003986537,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.44083,63.1572,0.48179016,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221533000,1777227221381000,17764060236391,0.00012477845,0.001509344,0.0021516574,0,0.12171135,0.11401945,0.016938727,0.008460929,0.005616691,0.003986537,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.44083,63.1572,0.48179016,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
