timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
1777316745494000,1777316745414000,0.999968,0.00097269856,0.001639444,0.0077777384,0.0020083324,-0.004179704,-0.0064968616,0.00032096653,-0.0006132437,-0.058248222,2.9148393e-06,3.1499356e-05,-5.3212875e-06,-2.2093373e-05,-2.4264704e-05,-0.0007086823,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9512639e-07,0.00010068086,0.000100678044,0.0011323099,0.0009843761,0.000984339,0.0074299546,7.9026635e-05,7.902554e-05,0.2105002,5.8920735e-10,5.889878e-10,5.8001728e-08,2.2127988e-06,2.2128456e-06,6.68151e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745502000,1777316745422000,0.99996793,0.0009478807,0.0016400286,0.007781625,0.0018334636,-0.004253165,-0.0069134682,0.0003363337,-0.0006469752,-0.058301862,2.9148393e-06,3.1499356e-05,-5.3212875e-06,-2.2093373e-05,-2.4264704e-05,-0.0007086823,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9548267e-07,0.000100764424,0.00010076149,0.0011386141,0.001012062,0.0010120237,0.0074750744,8.243243e-05,8.243123e-05,0.21061869,5.8921146e-10,5.889919e-10,5.800173e-08,2.2127988e-06,2.2128456e-06,6.681513e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745510000,1777316745430000,0.9999684,0.000948358,0.0015977081,0.0077406904,0.0017373828,-0.004208561,-0.0069039464,0.00035061708,-0.00068082206,-0.05835713,2.9148393e-06,3.1499356e-05,-5.3212875e-06,-2.2093373e-05,-2.4264704e-05,-0.0007086823,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9505008e-07,0.000100848076,0.00010084537,0.0011449483,0.0010400729,0.0010400364,0.0075203273,8.599743e-05,8.599612e-05,0.21073844,5.8921557e-10,5.88996e-10,5.8001735e-08,2.212799e-06,2.2128459e-06,6.6815176e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745518000,1777316745438000,0.9999686,0.0009799987,0.0015241846,0.007717784,0.001707543,-0.0040553873,-0.0066645294,0.00036439678,-0.00071387785,-0.058411404,2.9148393e-06,3.1499356e-05,-5.3212875e-06,-2.2093373e-05,-2.4264704e-05,-0.0007086823,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9490625e-07,0.00010093188,0.000100929676,0.0011513111,0.0010684674,0.0010684351,0.0075657135,8.97264e-05,8.9724985e-05,0.21085945,5.892197e-10,5.890001e-10,5.800174e-08,2.212799e-06,2.2128459e-06,6.681521e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745526000,1777316745446000,0.9999686,0.0010090518,0.0015150656,0.007721043,0.0016375569,-0.004026226,-0.006923221,0.00037777718,-0.0007462043,-0.058465756,2.9148393e-06,3.1499356e-05,-5.3212875e-06,-2.2093373e-05,-2.4264704e-05,-0.0007086823,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9525353e-07,0.000101016274,0.00010101423,0.0011577022,0.0010974851,0.0010974545,0.0076112333,9.362427e-05,9.362274e-05,0.21098173,5.892238e-10,5.8900423e-10,5.8001742e-08,2.212799e-06,2.2128459e-06,6.681525e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745534000,1777316745454000,0.99996865,0.0009964952,0.0015120278,0.0077137197,0.0017454214,-0.004002974,-0.006880775,0.0003913091,-0.00077832106,-0.058520973,2.9148393e-06,3.1499356e-05,-5.3212875e-06,-2.2093373e-05,-2.4264704e-05,-0.0007086823,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9541874e-07,0.000101100995,0.00010109891,0.0011641226,0.0011268748,0.0011268454,0.0076568862,9.769644e-05,9.769479e-05,0.21110527,5.8922794e-10,5.890084e-10,5.8001746e-08,2.212799e-06,2.2128459e-06,6.681528e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745542000,1777316745462000,0.9999689,0.0009848705,0.0015212742,0.007680308,0.0018602897,-0.0043513305,-0.0065613315,0.00040573193,-0.00081173825,-0.05857474,2.9148393e-06,3.1499356e-05,-5.3212875e-06,-2.2093373e-05,-2.4264704e-05,-0.0007086823,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9514306e-07,0.000101186066,0.000101183876,0.0011705724,0.001156651,0.0011566151,0.007702673,0.00010194798,0.00010194622,0.2112301,5.8923205e-10,5.890125e-10,5.8001753e-08,2.212799e-06,2.2128459e-06,6.681532e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745550000,1777316745470000,0.9999689,0.0009937112,0.0015753956,0.0076714093,0.0018907661,-0.0042366544,-0.0063795894,0.00042073615,-0.0008460902,-0.058626503,2.9148393e-06,3.1499356e-05,-5.3212875e-06,-2.2093373e-05,-2.4264704e-05,-0.0007086823,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9532307e-07,0.00010127164,0.000101269194,0.0011770504,0.0011869373,0.001186905,0.007748592,0.00010638408,0.00010638219,0.21135624,5.8923616e-10,5.890166e-10,5.8001756e-08,2.212799e-06,2.2128459e-06,6.681536e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745558000,1777316745478000,0.99997085,0.0010329089,0.001569624,0.007412967,0.0021009792,-0.0044738785,-0.006481661,0.00043641918,-0.0008809745,-0.058677945,2.9081025e-06,3.1504533e-05,-3.8595635e-06,-2.2088927e-05,-2.4259496e-05,-0.0007086823,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9253513e-07,0.00010135694,0.0001013548,0.0011244073,0.0012178088,0.0012177736,0.007794645,0.00011101015,0.000111008194,0.21148367,5.892022e-10,5.8899824e-10,5.620774e-08,2.2127992e-06,2.212846e-06,6.6815396e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316745566000,1777316745486000,0.9999709,0.0010573516,0.0015343662,0.007409083,0.0023971575,-0.004651102,-0.0068472326,0.00045441173,-0.00091747445,-0.05873126,2.9081025e-06,3.1504533e-05,-3.8595635e-06,-2.2088927e-05,-2.4259496e-05,-0.0007086823,0.21574953,0.012170683,0.43024197,0.0,0.0,0.0,0.0,0.0,1.9272048e-07,0.00010144269,0.00010144083,0.0011306175,0.0012492626,0.001249225,0.007840832,0.00011583203,0.000115829935,0.21161242,5.892063e-10,5.8900235e-10,5.6207742e-08,2.2127992e-06,2.212846e-06,6.681543e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
