timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
1777316769310000,1777316769192000,0.00092695316,0.0026033462,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316769358000,1777316769244000,0.0024251414,0.0019886126,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316769414000,1777316769296000,0.0011009391,0.0008796388,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316769462000,1777316769348000,0.00077673915,0.00067364867,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316769518000,1777316769400000,0.00045879945,0.0009692179,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316769574000,1777316769452000,0.0011001601,0.00013445487,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316769622000,1777316769504000,0.0010944392,0.00096487714,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316769670000,1777316769556000,0.0017796839,0.0006607875,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316769726000,1777316769608000,0.0028810753,0.0007580594,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316769782000,1777316769660000,0.0006493025,4.544307e-05,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316769830000,1777316769712000,0.0008007179,0.0010534261,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316769878000,1777316769764000,0.0006489297,0.00065188075,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316769934000,1777316769816000,0.000798997,4.7294714e-05,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316769990000,1777316769868000,0.00064857345,4.704878e-05,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770038000,1777316769920000,0.0006452009,0.00065204833,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770086000,1777316769972000,0.00079975295,0.00015090284,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770142000,1777316770024000,0.0010759612,0.0010503866,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770198000,1777316770076000,0.0009893605,0.0027447534,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770246000,1777316770128000,0.0009842158,0.0014304318,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770302000,1777316770180000,0.0017294915,0.0005227251,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770350000,1777316770232000,0.0017471929,0.00072142296,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770398000,1777316770284000,0.0006306674,0.001517232,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770454000,1777316770336000,0.00050041336,0.0012072183,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770510000,1777316770388000,0.0018106599,0.0016037727,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770558000,1777316770440000,0.0018012444,0.001192601,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770614000,1777316770492000,0.0016584152,0.00038683898,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770662000,1777316770544000,0.00095273205,0.0005862434,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770710000,1777316770596000,0.00064841367,0.000118709344,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770766000,1777316770648000,0.00047625048,1.7384045e-05,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770814000,1777316770700000,0.0016445077,0.00028483037,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770870000,1777316770752000,0.0009392485,0.000317847,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770926000,1777316770804000,0.0010385338,0.0004169022,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316770974000,1777316770856000,0.0016281211,0.00018646196,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771030000,1777316770908000,0.0010283372,0.0006859806,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771078000,1777316770960000,0.00046976242,0.00048099743,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771134000,1777316771012000,0.0022095516,0.00022035625,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771182000,1777316771064000,0.0016056764,7.986186e-05,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771230000,1777316771116000,0.00166623,0.00018015457,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771286000,1777316771168000,0.0006539169,0.0007210507,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771334000,1777316771220000,0.00065051654,0.0012177895,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316771390000,1777316771272000,0.0010059465,0.00018929981,0.0,1,0,0,0,0,0,0,0,0,0,0
