timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance
1777320773797000,0,1777320773797000,0,473978335,85455902,497186,497186,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,4.8199997,4.8199997,0.0,-0.07,0.0,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320774785000,0,1777320774785000,0,473978607,85455903,497225,497225,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,1.05,1.05,0.02,0.0,0.017453292,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320775773000,0,1777320775773000,0,473978524,85455907,497173,497173,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,2.6399999,-2.6399999,0.02,0.08,3.1241393,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320776813000,0,1777320776813000,0,473978188,85455912,497134,497134,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,4.4,-4.4,0.04,0.0,3.1241393,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320777801000,0,1777320777801000,0,473977761,85455918,497153,497153,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,4.81,-4.7999997,0.07,-0.04,3.1241393,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320778789000,0,1777320778789000,0,473977344,85455930,497185,497185,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,4.0499997,-4.0499997,0.07,-0.049999997,3.106686,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320779777000,0,1777320779777000,0,473977086,85455939,497218,497218,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,1.9,-1.9,0.049999997,0.0,3.106686,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320780765000,0,1777320780765000,0,473977009,85455945,497197,497197,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.53,0.53,0.0,0.03,0.017453292,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320781805000,0,1777320781805000,0,473977201,85455940,497149,497149,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,3.4099998,3.4099998,-0.08,0.04,5.137551,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320782793000,0,1777320782793000,0,473977594,85455923,497124,497124,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,4.95,4.95,-0.13,0.0,5.137551,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320783781000,0,1777320783781000,0,473977958,85455909,497129,497129,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,2.54,2.54,-0.07,-0.04,5.137551,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320784769000,0,1777320784769000,0,473978000,85455908,497157,497157,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,1.5799999,-1.5799999,0.03,0.03,3.106686,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320785809000,0,1777320785809000,0,473977730,85455918,497108,497108,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,3.79,-3.79,0.11,0.01,3.106686,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320786797000,0,1777320786797000,0,473977329,85455936,497116,497116,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,5.0099998,-5.0,0.14,0.0,3.106686,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320787785000,0,1777320787785000,0,473976934,85455949,497128,497128,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,3.23,-3.23,0.08,-0.06,3.106686,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320788773000,0,1777320788773000,0,473976814,85455957,497165,497165,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.55,0.53999996,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320789813000,0,1777320789813000,0,473977019,85455948,497127,497127,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,3.4099998,3.4099998,-0.07,0.04,5.137551,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320790801000,0,1777320790801000,0,473977397,85455938,497104,497104,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,5.0,4.99,-0.11,0.02,5.137551,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320791789000,0,1777320791789000,0,473977820,85455921,497109,497109,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,3.8999999,3.8999999,-0.099999994,-0.04,5.137551,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320792777000,0,1777320792777000,0,473978003,85455915,497143,497143,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.099999994,0.099999994,0.0,0.01,5.0851912,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320793765000,0,1777320793765000,0,473977860,85455921,497089,497089,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,3.02,-3.02,0.099999994,0.04,3.106686,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320794805000,0,1777320794805000,0,473977496,85455938,497071,497071,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,4.71,-4.7,0.14999999,0.01,3.106686,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320795793000,0,1777320795793000,0,473977075,85455958,497074,497074,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,4.12,-4.12,0.11,-0.049999997,3.106686,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320796781000,0,1777320796781000,0,473976859,85455967,497116,497116,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.53999996,-0.53999996,0.02,0.0,3.0717795,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320797769000,0,1777320797769000,0,473976972,85455966,497077,497077,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,2.79,2.79,-0.04,0.049999997,0.0,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320798809000,0,1777320798809000,0,473977320,85455957,497062,497062,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,4.61,4.61,-0.08,0.01,5.137551,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320799797000,0,1777320799797000,0,473977750,85455942,497047,497047,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,4.42,4.42,-0.08,-0.04,5.137551,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320800785000,0,1777320800785000,0,473978001,85455934,497097,497097,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.94,0.94,0.0,-0.01,0.0,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320801773000,0,1777320801773000,0,473977916,85455945,497075,497075,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,2.6,-2.59,0.14,0.049999997,3.0717795,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320802813000,0,1777320802813000,0,473977586,85455968,497047,497047,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,4.39,-4.39,0.14999999,0.02,3.0892327,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320803801000,0,1777320803801000,0,473977163,85455982,497022,497022,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,4.5699997,-4.5699997,0.06,-0.02,3.1241393,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320804789000,0,1777320804789000,0,473976878,85455987,497069,497069,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,1.43,-1.43,-0.02,-0.02,2.0308642,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320805777000,0,1777320805777000,0,473976921,85455987,497058,497058,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,2.25,2.25,0.0,0.04,0.0,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320806765000,0,1777320806765000,0,473977209,85455983,497049,497049,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,4.08,4.08,-0.02,0.0,0.0,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320807805000,0,1777320807805000,0,473977650,85455974,497024,497024,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,4.77,4.77,-0.06,0.0,0.0,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
