timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
1777316763890000,32767,32767,32767,32767,32767,32767
1777316763894000,32767,32767,32767,0,32767,32767
1777316763898000,32767,32767,32767,0,32767,32767
1777316763902000,32767,32767,32767,32767,32767,32767
1777316763906000,32767,32767,32767,32767,32767,32767
1777316763910000,32767,32767,32767,32767,32767,32767
1777316763914000,32767,32767,32767,32767,32767,32767
1777316763918000,32767,32767,32767,32767,32767,32767
1777316763922000,32767,32767,32767,32767,32767,32767
1777316763926000,32767,32767,32767,32767,32767,32767
1777316763930000,32767,32767,32767,32767,32767,32767
1777316763934000,32767,32767,32767,32767,32767,32767
1777316763938000,32767,32767,32767,32767,32767,32767
1777316763942000,32767,32767,32767,32767,32767,32767
1777316763946000,32767,32767,32767,32767,32767,32767
1777316763950000,32767,32767,32767,32767,32767,32767
1777316763954000,32767,32767,32767,32767,32767,32767
1777316763958000,32767,32767,32767,32767,32767,32767
1777316763962000,32767,32767,32767,32767,32767,32767
1777316763966000,32767,32767,32767,32767,32767,32767
1777316763970000,32767,32767,32767,32767,0,32767
1777316763974000,32767,32767,32767,32767,0,32767
1777316763978000,32767,32767,32767,32767,32767,32767
1777316763982000,32767,32767,32767,32767,32767,32767
1777316763986000,32767,32767,32767,32767,32767,32767
1777316763990000,32767,32767,32767,32767,32767,32767
1777316763994000,32767,32767,32767,0,32767,32767
1777316763998000,32767,32767,32767,0,32767,32767
1777316764002000,32767,32767,32767,32767,32767,32767
1777316764006000,32767,32767,32767,32767,32767,32767
1777316764010000,32767,32767,32767,32767,32767,32767
1777316764014000,32767,32767,32767,32767,32767,32767
1777316764018000,32767,32767,32767,32767,32767,32767
1777316764022000,32767,32767,32767,32767,32767,32767
1777316764026000,32767,32767,32767,32767,32767,32767
1777316764030000,32767,32767,32767,32767,32767,32767
1777316764034000,32767,32767,32767,32767,32767,32767
1777316764038000,32767,32767,32767,32767,32767,32767
1777316764042000,32767,32767,32767,32767,32767,32767
1777316764046000,32767,32767,32767,32767,32767,32767
1777316764050000,32767,32767,32767,32767,32767,32767
1777316764054000,32767,32767,32767,32767,32767,32767
1777316764058000,32767,32767,32767,32767,32767,32767
1777316764062000,32767,32767,32767,32767,32767,32767
1777316764066000,32767,32767,32767,32767,32767,32767
1777316764070000,32767,32767,32767,32767,32767,32767
1777316764074000,32767,32767,32767,32767,32767,32767
1777316764078000,32767,32767,32767,32767,32767,32767
