timestamp,geofence_violation_reason,primary_geofence_breached,primary_geofence_action,home_required
1777316776302000,0,0,2,0
1777316776558000,0,0,2,0
1777316776806000,0,0,2,0
1777316777062000,0,0,2,0
1777316777310000,0,0,2,0
1777316777566000,0,0,2,0
1777316777814000,0,0,2,0
1777316778074000,0,0,2,0
1777316778318000,0,0,2,0
1777316778578000,0,0,2,0
1777316778822000,0,0,2,0
1777316779078000,0,0,2,0
1777316779326000,0,0,2,0
1777316779582000,0,0,2,0
1777316779830000,0,0,2,0
1777316780086000,0,0,2,0
1777316780334000,0,0,2,0
1777316780594000,0,0,2,0
1777316780838000,0,0,2,0
1777316781098000,0,0,2,0
1777316781342000,0,0,2,0
1777316781598000,0,0,2,0
1777316781846000,0,0,2,0
1777316782102000,0,0,2,0
1777316782318000,0,0,2,0
1777316782570000,0,0,2,0
1777316782822000,0,0,2,0
1777316783070000,0,0,2,0
1777316783326000,0,0,2,0
1777316783574000,0,0,2,0
1777316783806000,0,0,2,0
1777316784054000,0,0,2,0
1777316784262000,0,0,2,0
1777316784510000,0,0,2,0
1777316784766000,0,0,2,0
1777316785014000,0,0,2,0
1777316785270000,0,0,2,0
1777316785518000,0,0,2,0
1777316785774000,0,0,2,0
1777316786022000,2,1,2,0
1777316786262000,2,1,2,0
1777316786518000,2,1,2,0
1777316786766000,2,1,2,0
1777316787014000,2,1,2,0
1777316787222000,2,1,2,0
1777316787470000,2,1,2,0
1777316787726000,2,1,2,0
1777316787974000,2,1,2,0
1777316788182000,2,1,2,0
1777316788434000,2,1,2,0
1777316788678000,2,1,2,0
1777316788934000,2,1,2,0
1777316789142000,2,1,2,0
1777316789394000,2,1,2,0
1777316789638000,2,1,2,0
1777316789886000,2,1,2,0
1777316790094000,2,1,2,0
1777316790350000,2,1,2,0
1777316790598000,2,1,2,0
1777316790850000,2,1,2,0
1777316791094000,2,0,2,0
1777316791342000,2,0,2,0
1777316791594000,2,0,2,0
1777316791798000,2,0,2,0
1777316792046000,2,0,2,0
1777316792302000,2,0,2,0
1777316792550000,2,1,2,0
1777316792806000,2,1,2,0
1777316793054000,2,1,2,0
1777316793310000,2,1,2,0
1777316793558000,2,1,2,0
1777316793814000,2,1,2,0
1777316794066000,2,1,2,0
1777316794318000,2,1,2,0
1777316794570000,2,0,2,0
1777316794802000,2,0,2,0
1777316795046000,2,0,2,0
1777316795254000,2,0,2,0
1777316795502000,2,0,2,0
1777316795758000,2,0,2,0
1777316796006000,2,1,2,0
1777316796262000,2,1,2,0
1777316796510000,2,1,2,0
1777316796766000,2,1,2,0
1777316797014000,2,1,2,0
1777316797270000,2,1,2,0
1777316797518000,2,1,2,0
1777316797774000,2,1,2,0
1777316798022000,2,1,2,0
1777316798278000,2,1,2,0
1777316798526000,2,1,2,0
1777316798782000,2,1,2,0
1777316799030000,2,0,2,0
1777316799286000,2,0,2,0
1777316799534000,2,0,2,0
1777316799790000,2,0,2,0
1777316800038000,2,0,2,0
1777316800294000,2,1,2,0
1777316800518000,2,1,2,0
1777316800778000,2,1,2,0
1777316801022000,2,1,2,0
1777316801270000,2,1,2,0
1777316801478000,2,1,2,0
1777316801726000,2,1,2,0
1777316801982000,2,1,2,0
1777316802230000,2,1,2,0
1777316802438000,2,1,2,0
1777316802686000,2,1,2,0
1777316802934000,2,0,2,0
1777316803174000,2,0,2,0
1777316803422000,2,0,2,0
1777316803678000,2,0,2,0
1777316803926000,2,0,2,0
1777316804186000,2,1,2,0
1777316804406000,2,1,2,0
1777316804662000,2,1,2,0
1777316804910000,2,1,2,0
1777316805158000,2,1,2,0
1777316805366000,2,1,2,0
1777316805618000,2,1,2,0
1777316805870000,2,1,2,0
1777316806118000,2,1,2,0
1777316806326000,2,1,2,0
1777316806578000,2,1,2,0
1777316806826000,2,1,2,0
1777316807078000,2,0,2,0
1777316807326000,2,0,2,0
1777316807574000,2,0,2,0
1777316807782000,2,0,2,0
1777316808030000,2,0,2,0
