timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
1777320737205000,1777320737125000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.801197,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1925926,2.1926224,1.0000918,0.0,0.0,0.0,0.0,0.0,0.0
1777320737213000,1777320737133000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.147667,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.202114,2.202145,1.0000917,0.0,0.0,0.0,0.0,0.0,0.0
1777320737221000,1777320737141000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.147667,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2118275,2.2118597,1.000092,0.0,0.0,0.0,0.0,0.0,0.0
1777320737229000,1777320737149000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.147667,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2217333,2.2217667,1.0000931,0.0,0.0,0.0,0.0,0.0,0.0
1777320737237000,1777320737157000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.147667,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2318301,2.2318661,1.0000947,0.0,0.0,0.0,0.0,0.0,0.0
1777320737245000,1777320737165000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.147667,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2421193,2.2421584,1.000096,0.0,0.0,0.0,0.0,0.0,0.0
1777320737253000,1777320737173000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.147667,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252601,2.2526426,1.0000972,0.0,0.0,0.0,0.0,0.0,0.0
1777320737261000,1777320737181000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5081,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2632773,2.263319,1.0000969,0.0,0.0,0.0,0.0,0.0,0.0
1777320737269000,1777320737189000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5081,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.274145,2.2741876,1.000098,0.0,0.0,0.0,0.0,0.0,0.0
1777320737277000,1777320737197000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.5081,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2852054,2.2852483,1.0000978,0.0,0.0,0.0,0.0,0.0,0.0
