timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1777316742914000,1777316742914000,0.99997604,0.0014072339,0.0024505178,0.0063222363,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742918000,1777316742918000,0.99997634,0.0014209243,0.0024615987,0.00627516,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742926000,1777316742926000,0.9999769,0.0014538016,0.0024761362,0.0061713695,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742930000,1777316742930000,0.9999771,0.0014639574,0.0024827034,0.0061359443,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742934000,1777316742934000,0.99997723,0.0014767514,0.0024956698,0.006106381,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742938000,1777316742938000,0.9999773,0.0014946923,0.0025096072,0.0060835863,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742946000,1777316742946000,0.9999775,0.0014925183,0.0025398238,0.0060208216,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742950000,1777316742950000,0.9999778,0.0014709514,0.002532656,0.0059824195,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742954000,1777316742954000,0.999978,0.0014626107,0.0025179689,0.005959105,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742958000,1777316742958000,0.9999781,0.0014627422,0.0025134461,0.005940045,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742962000,1777316742962000,0.9999782,0.0014742834,0.0025333748,0.005920595,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742970000,1777316742970000,0.9999784,0.0014888721,0.0025617112,0.0058695273,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742974000,1777316742974000,0.9999786,0.0014894363,0.002543459,0.005846931,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742978000,1777316742978000,0.9999786,0.0014930401,0.0025352102,0.0058453204,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742986000,1777316742986000,0.99997884,0.0015031153,0.0025383814,0.0058026304,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742990000,1777316742990000,0.999979,0.0015079441,0.0025556567,0.0057573044,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742994000,1777316742994000,0.9999792,0.0015132613,0.0025680023,0.0057316683,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742998000,1777316742998000,0.99997914,0.0015160253,0.0025696508,0.005725196,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743002000,1777316743002000,0.9999793,0.0015048347,0.002568989,0.005716028,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743006000,1777316743006000,0.9999794,0.0014893226,0.0025778932,0.0057047545,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743010000,1777316743010000,0.9999794,0.0014864288,0.0025968929,0.0056917462,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743014000,1777316743014000,0.99997944,0.0014894583,0.0026058021,0.005681371,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743018000,1777316743018000,0.9999793,0.0014951207,0.0026071637,0.00567869,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743022000,1777316743022000,0.99997944,0.0015082569,0.0026059041,0.0056765196,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743030000,1777316743030000,0.99997944,0.0015243145,0.0025914293,0.0056739924,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743038000,1777316743038000,0.9999796,0.0015103063,0.0025814504,0.0056469617,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743042000,1777316743042000,0.9999796,0.0015269173,0.0025847591,0.0056440583,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743046000,1777316743046000,0.99997956,0.0015286312,0.0025916898,0.0056555797,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743050000,1777316743050000,0.9999795,0.0015302873,0.0025905867,0.005649717,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743054000,1777316743054000,0.9999797,0.001547954,0.002577877,0.00563048,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743058000,1777316743058000,0.9999798,0.0015484086,0.0025655588,0.0056209434,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743062000,1777316743062000,0.9999798,0.0015343644,0.002576587,0.005616806,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743066000,1777316743066000,0.9999796,0.0015376346,0.0026052536,0.00562027,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743070000,1777316743070000,0.9999795,0.0015489142,0.0026328915,0.005629039,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743074000,1777316743074000,0.9999795,0.0015531497,0.0026503522,0.005637846,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743078000,1777316743078000,0.99997944,0.0015483256,0.002664579,0.0056381496,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743082000,1777316743082000,0.9999795,0.0015411457,0.0026798735,0.00562028,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743090000,1777316743090000,0.9999796,0.0015439423,0.0026711025,0.005605565,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743094000,1777316743094000,0.9999795,0.0015554278,0.0026635546,0.005610338,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743098000,1777316743098000,0.99997956,0.001561993,0.002649586,0.005614307,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743102000,1777316743102000,0.99997956,0.0015548014,0.002623276,0.0056268154,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743110000,1777316743110000,0.99997944,0.0015586218,0.002593665,0.005652681,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743118000,1777316743118000,0.9999794,0.0015755633,0.0025467724,0.0056858533,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743126000,1777316743126000,0.9999793,0.0015855519,0.0025403055,0.00570209,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743130000,1777316743130000,0.9999792,0.0015937358,0.0025621003,0.0057149534,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743134000,1777316743134000,0.9999791,0.0015907149,0.002584905,0.005722521,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743138000,1777316743138000,0.99997914,0.0015806864,0.00259117,0.005714491,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743142000,1777316743142000,0.9999792,0.0015802524,0.0025943008,0.0057021705,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743150000,1777316743150000,0.9999791,0.0015914568,0.0026053337,0.00571865,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743154000,1777316743154000,0.9999789,0.0015961357,0.0026174705,0.0057405164,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743162000,1777316743162000,0.9999786,0.0016040588,0.0025959106,0.005788709,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743166000,1777316743166000,0.99997866,0.0015853508,0.0025748964,0.005799135,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743174000,1777316743174000,0.9999784,0.0015971046,0.0025661371,0.005832656,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743182000,1777316743182000,0.99997807,0.0016374133,0.0025669117,0.0058762636,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743186000,1777316743186000,0.999978,0.0016464399,0.0025450757,0.005898018,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743190000,1777316743190000,0.99997795,0.0016586169,0.0025291245,0.005915513,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743198000,1777316743198000,0.9999775,0.0017076735,0.002535593,0.0059610563,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743202000,1777316743202000,0.99997735,0.0017169515,0.0025430813,0.0059939064,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743206000,1777316743206000,0.9999772,0.0017257286,0.0025436487,0.006023017,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743214000,1777316743214000,0.99997693,0.0017852498,0.0025335567,0.00606123,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743218000,1777316743218000,0.9999767,0.0018131569,0.0025168827,0.0060805012,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743222000,1777316743222000,0.9999766,0.001844789,0.0024997038,0.0060971,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743230000,1777316743230000,0.9999762,0.0018929081,0.0024963068,0.0061542075,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743234000,1777316743234000,0.99997604,0.0019158458,0.002492063,0.0061717723,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743242000,1777316743242000,0.9999761,0.0019120283,0.002489296,0.0061736936,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743250000,1777316743250000,0.99997604,0.0018618705,0.0024837474,0.006200141,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743254000,1777316743254000,0.99997586,0.001865589,0.0024779832,0.0062277857,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743262000,1777316743262000,0.99997556,0.0018693276,0.0024543826,0.006287273,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743266000,1777316743266000,0.99997526,0.0018829767,0.002461393,0.0063187676,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316743270000,1777316743270000,0.9999751,0.001901442,0.0024609962,0.006340117,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
