timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
1777316811946000,1,0,1,0,0,0,0
1777316812450000,1,0,1,0,0,0,0
1777316812630000,1,0,1,0,0,0,0
1777316813134000,1,0,1,0,0,0,0
1777316813638000,1,0,1,0,0,0,0
1777316814142000,1,0,1,0,0,0,0
1777316814646000,1,0,1,0,0,0,0
1777316815150000,1,0,1,0,0,0,0
1777316815546000,1,0,1,0,0,0,0
1777316816050000,1,0,1,0,0,0,0
1777316816554000,1,0,1,0,0,0,0
1777316817058000,1,0,1,0,0,0,0
1777316817562000,1,0,1,0,0,0,0
1777316818066000,1,0,1,0,0,0,0
1777316818570000,1,0,1,0,0,0,0
1777316819074000,1,0,1,0,0,0,0
1777316819578000,1,0,1,0,0,0,0
1777316819758000,1,0,1,0,0,0,0
1777316820262000,1,0,1,0,0,0,0
1777316820766000,1,0,1,0,0,0,0
1777316821270000,1,0,1,0,0,0,0
1777316821774000,1,0,1,0,0,0,0
1777316822278000,1,0,1,0,0,0,0
1777316822782000,1,0,1,0,0,0,0
1777316823286000,1,0,1,0,0,0,0
1777316823790000,1,0,1,0,0,0,0
1777316823862000,1,0,1,0,0,0,0
1777316824366000,1,0,1,0,0,0,0
1777316824870000,1,0,1,0,0,0,0
1777316825050000,1,0,1,0,0,0,0
1777316825554000,1,0,1,0,0,0,0
1777316826058000,1,0,1,0,0,0,0
