timestamp,control_power[0],control_power[1],control_power[2]
1777227274221000,5.8791734e-06,8.181581e-06,1.10812564e-07
1777227274721000,7.438499e-06,1.5418656e-05,2.7839792e-07
1777227275221000,6.019587e-06,5.6055765e-06,1.1342956e-07
1777227275721000,4.1416524e-06,9.970132e-06,1.6288627e-07
1777227276221000,4.7401395e-06,6.2143795e-06,1.6958461e-07
1777227276721000,1.0000793e-05,5.954005e-06,2.388042e-07
1777227277221000,6.010309e-06,4.7191606e-06,5.4690224e-07
1777227277721000,3.4162101e-06,6.460308e-06,4.053171e-07
1777227278221000,5.1356346e-06,7.7320965e-06,3.6102927e-07
1777227278721000,5.524622e-06,4.7886338e-06,3.426187e-07
1777227279221000,5.565685e-06,1.3755576e-05,1.4072883e-07
1777227279721000,4.4226335e-06,1.0444844e-05,1.6861652e-07
1777227280221000,5.963511e-06,1.2598925e-05,6.078931e-08
1777227280721000,5.894461e-06,6.590141e-06,8.1330626e-08
1777227281221000,7.0758106e-06,1.1533629e-05,1.3923537e-07
1777227281721000,3.4914149e-06,1.1120034e-05,9.172308e-08
1777227282221000,5.080928e-06,7.276607e-06,1.4931376e-07
1777227282721000,5.004454e-06,7.048865e-06,1.2786137e-07
1777227283221000,4.4828516e-06,3.3585416e-06,1.3965925e-07
1777227283721000,8.884066e-06,9.4771485e-06,6.828201e-08
1777227284221000,5.8633345e-06,1.078192e-05,1.5922957e-07
1777227284721000,5.139105e-06,8.070394e-06,1.6912095e-07
1777227285221000,5.378979e-06,9.713212e-06,3.241685e-07
1777227285721000,4.1124276e-06,8.46788e-06,1.7209776e-07
1777227286221000,5.092911e-06,9.53908e-06,4.9460983e-08
1777227286721000,6.166621e-06,1.0511665e-05,7.2897635e-08
1777227287221000,5.205125e-06,8.550439e-06,3.3338637e-07
1777227287721000,5.383572e-06,9.171428e-06,8.952658e-07
1777227288221000,7.5530047e-06,1.074533e-05,1.3153421e-07
1777227288721000,5.964686e-06,1.3674544e-05,6.3549116e-08
1777227289221000,6.331695e-06,6.2712575e-06,5.805123e-08
1777227289721000,5.0653107e-06,6.5587687e-06,3.4429067e-07
1777227290221000,6.007881e-06,7.653041e-06,1.1004947e-07
1777227290721000,5.5778137e-06,1.1096062e-05,1.5608774e-07
1777227291221000,6.126671e-06,1.0153693e-05,9.1606324e-08
1777227291721000,7.280292e-06,2.0339148e-05,8.291862e-06
1777227292221000,3.788414e-05,2.6746337e-05,0.0005218784
1777227292721000,2.633509e-05,3.990533e-05,0.0003964392
1777227293221000,2.1071271e-05,1.4628869e-05,0.00025636322
1777227293721000,8.340098e-05,1.5247761e-05,0.0005680255
1777227294221000,7.1298964e-05,2.279188e-05,0.00044898305
1777227294721000,1.7904498e-05,2.2218745e-05,7.357842e-05
1777227295221000,8.693935e-05,9.609595e-06,0.00083593704
1777227295721000,6.611171e-05,2.0883628e-05,0.0007235584
1777227296221000,1.5228043e-05,1.7231887e-05,0.00015265659
1777227296721000,1.5182446e-05,2.3097362e-05,0.00026378804
1777227297221000,2.7138429e-05,1.7915077e-05,0.00039931582
1777227297721000,2.2027281e-05,1.4460843e-05,0.000261269
1777227298221000,1.1472991e-05,1.8428409e-05,6.042811e-05
1777227298721000,9.223488e-06,1.9665751e-05,3.0298937e-05
1777227299221000,7.1271093e-06,1.727784e-05,5.086425e-06
1777227299721000,7.4123504e-06,2.3933067e-05,8.601292e-07
1777227300221000,7.6761435e-06,1.7682016e-05,6.9893576e-07
1777227300721000,6.3257858e-06,1.877856e-05,4.9196288e-08
1777227301221000,7.4624645e-06,2.0735626e-05,1.4786939e-07
1777227301721000,4.1403327e-06,2.7456997e-05,1.01753734e-07
1777227302221000,5.4892653e-06,1.7597838e-05,1.5499285e-07
1777227302721000,5.491287e-06,1.9849494e-05,1.8279097e-07
1777227303221000,6.185524e-06,1.5671172e-05,2.9937374e-07
1777227303721000,4.449263e-06,1.7872298e-05,1.5697776e-07
1777227304221000,5.4711504e-06,2.9278723e-05,8.714916e-08
1777227304721000,6.0175507e-06,1.981568e-05,9.0894076e-08
1777227305221000,5.2613077e-06,2.1530883e-05,1.238011e-07
1777227305721000,8.6424025e-06,2.4980221e-05,1.4945672e-07
1777227306221000,7.630914e-06,2.025367e-05,3.5522626e-07
1777227306721000,7.1248314e-06,2.2310021e-05,3.6637203e-07
1777227307221000,5.276828e-06,2.5400175e-05,5.469984e-08
1777227307721000,4.49317e-06,2.0888638e-05,1.508913e-07
1777227308221000,6.3255447e-06,8.195091e-06,1.018793e-07
1777227308721000,4.558236e-06,8.205929e-06,2.0349987e-07
1777227309221000,5.656897e-06,8.854271e-06,8.2261124e-07
1777227309721000,7.6205597e-06,5.886629e-06,8.435922e-07
1777227310221000,1.3272544e-05,1.4690768e-05,0.0001761586
1777227310721000,4.925512e-05,2.0881205e-05,0.00071737
1777227311221000,2.1667463e-05,1.2880651e-05,0.00029828076
1777227311721000,1.6531681e-05,1.22512065e-05,0.00023929305
1777227312221000,2.6242988e-05,1.618092e-05,0.00035683785
1777227312721000,2.0556761e-05,7.1912336e-06,0.000304268
1777227313221000,2.6200594e-05,7.641271e-06,0.0003664074
1777227313721000,8.255605e-05,1.2642278e-05,0.001191948
1777227314221000,1.7186234e-05,1.184192e-05,0.0002467547
1777227314721000,1.683096e-05,1.0400155e-05,0.00020573703
1777227315221000,2.8014245e-05,8.499075e-06,0.0003658625
1777227315721000,2.2410282e-05,1.0298337e-05,0.00032395017
1777227316221000,1.2240072e-05,7.733618e-06,8.700519e-05
1777227316721000,9.249791e-06,9.110168e-06,7.410955e-05
1777227317221000,7.926268e-06,9.207073e-06,6.9995212e-06
1777227317721000,8.450313e-06,6.7789615e-06,4.692319e-06
1777227318221000,8.340965e-06,6.445796e-06,9.611969e-07
1777227318721000,6.3829975e-06,1.1146584e-05,1.5939254e-07
1777227319221000,7.808832e-06,1.01384485e-05,2.589539e-07
1777227319721000,4.692735e-06,1.0297453e-05,8.608829e-08
1777227320221000,6.6157527e-06,8.640585e-06,1.3694262e-07
1777227320721000,4.1419444e-06,9.730009e-06,2.593501e-07
1777227321221000,5.124591e-06,2.0208272e-05,1.9195976e-07
1777227321721000,5.457362e-06,8.153069e-06,3.190248e-07
1777227322221000,5.95714e-06,6.5872396e-06,3.855897e-07
1777227322721000,5.1215225e-06,1.0115754e-05,1.08920126e-07
1777227323221000,5.718418e-06,4.8515594e-06,1.5039144e-07
1777227323721000,5.930533e-06,1.1659417e-05,2.4675566e-07
1777227324221000,4.262901e-06,5.888273e-06,1.3744871e-07
1777227324721000,7.1407107e-06,9.77516e-06,1.4251667e-07
1777227325221000,6.8699023e-06,7.5158473e-06,7.6166366e-08
1777227325721000,3.946398e-06,9.161447e-06,8.380315e-08
1777227326221000,5.882661e-06,1.2564503e-05,1.2522821e-07
1777227326721000,6.937527e-06,9.560385e-06,1.11041935e-07
1777227327221000,6.6835714e-06,8.565503e-06,5.3369856e-08
1777227327721000,5.545246e-06,1.606529e-05,3.5771893e-07
1777227328221000,5.1656943e-06,1.1610117e-05,4.8890155e-07
1777227328721000,3.684853e-06,1.3379357e-05,1.1197244e-07
1777227329221000,6.3155635e-06,7.757885e-06,2.3490405e-07
1777227329721000,5.2968508e-06,4.519491e-06,4.5540148e-08
1777227330221000,5.940712e-06,8.94236e-06,1.4107289e-07
1777227330721000,7.033374e-06,1.2012253e-05,3.4422345e-07
1777227331221000,3.1766513e-06,4.946355e-06,1.866462e-07
1777227331721000,9.625284e-06,7.194918e-06,1.0752346e-07
1777227332221000,3.096722e-06,1.1855429e-05,2.2723921e-07
1777227332721000,5.750088e-06,6.6091475e-06,1.4391357e-07
1777227333221000,4.7697476e-06,1.32453515e-05,5.4775946e-08
1777227333721000,2.9943326e-06,7.1191507e-06,7.6563424e-08
1777227334221000,3.1356838e-06,9.875086e-06,6.784645e-08
1777227334721000,5.7867815e-06,4.3591863e-06,2.0177391e-07
1777227335221000,8.011382e-06,7.981933e-06,3.1829737e-07
1777227335721000,5.8399305e-06,8.220097e-06,2.8713853e-07
1777227336221000,5.0860363e-06,4.451502e-06,1.00102966e-07
1777227336721000,9.954528e-06,3.702117e-06,4.1586418e-08
1777227337221000,1.8682978e-05,6.9959915e-06,9.257388e-08
1777227337721000,3.369128e-05,9.918362e-06,1.6284059e-07
1777227338221000,2.5812922e-05,6.1607307e-06,8.6478295e-08
1777227338721000,2.5810854e-05,9.094391e-06,8.155416e-08
1777227339221000,2.6934933e-05,6.8573227e-06,5.826629e-08
1777227339721000,2.9226314e-05,6.3323473e-06,1.486336e-07
1777227340221000,3.177255e-05,5.094668e-06,1.2658262e-07
1777227340721000,1.6819627e-05,4.454204e-06,2.3698946e-07
1777227341221000,5.528894e-06,4.631144e-06,1.9116217e-07
