timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
1777225997065000,0.009762776,-0.04866981,-0.32650426,-0.003938627,0.008742678,-1.1115035,-0.02886647,0.06335141,-0.5187658,-0.0015501085,0.0034019249,-0.5264497,0.01906947,0.0
1777225997169000,0.009792288,-0.048666637,-0.4103195,-0.006182445,0.008980777,-1.1829004,-0.033434045,0.059710495,-0.5736146,-0.0018033058,0.003220558,-0.5292462,0.0191677,0.0
1777225997265000,0.009808594,-0.048660718,-0.47217777,-0.008376682,0.009116953,-1.2107536,-0.033965793,0.0562432,-0.47756457,-0.0018148003,0.0030050874,-0.52434903,0.019062605,0.0
1777225997369000,0.009827955,-0.048646104,-0.57341856,-0.0109712025,0.009208003,-1.2845004,-0.036738757,0.050830077,-0.54971147,-0.0019750125,0.0027325377,-0.5280275,0.018799787,0.0
1777225997465000,0.009837398,-0.04863258,-0.64633024,-0.013536652,0.009137611,-1.3098133,-0.040003356,0.04495675,-0.44347382,-0.002132272,0.0023962997,-0.52261084,0.018600242,0.0
1777225997561000,0.009845537,-0.048610553,-0.75873667,-0.01624083,0.00889896,-1.3797204,-0.042353977,0.04124703,-0.5123335,-0.0022727768,0.002213376,-0.52612174,0.01889861,0.0
1777225997665000,0.0098489355,-0.048585694,-0.8485618,-0.019252552,0.0084758615,-1.4081628,-0.049165282,0.035844877,-0.41355205,-0.0026128048,0.0019049146,-0.52108526,0.018644802,0.0
1777225997769000,0.009847598,-0.048548535,-0.9827965,-0.022237806,0.0077793803,-1.4855454,-0.04881138,0.027031245,-0.5105556,-0.0026155992,0.0014484923,-0.5260311,0.018775862,0.0
1777225997865000,0.009843239,-0.048520006,-1.0774951,-0.024923975,0.0070710033,-1.4973981,-0.06190031,0.025177384,-0.11804965,-0.0031960756,0.0012999743,-0.5060189,0.018675013,0.0
1777225997961000,0.009833845,-0.048478954,-1.2157669,-0.027592286,0.0067449803,-1.5256424,-0.057268754,0.022269726,0.029635549,-0.0029140422,0.0011331646,-0.49848902,0.018620579,0.0
1777225998065000,0.009824488,-0.048440445,-1.3216796,-0.030345878,0.0066441507,-1.503778,-0.05229143,0.022875275,0.11771357,-0.0026287911,0.0011499843,-0.4939983,0.018877136,0.0
1777225998161000,0.009814384,-0.048398867,-1.4623432,-0.03288991,0.006513318,-1.525362,-0.05760383,0.027798133,0.02741599,-0.0029294777,0.0014136909,-0.49860218,0.01903521,0.0
1777225998265000,0.009805088,-0.048360594,-1.5711555,-0.035812516,0.0062965634,-1.5032539,-0.065914005,0.016559424,0.11405283,-0.0033221152,0.0008346073,-0.4941849,0.019223562,0.0
1777225998369000,0.009793504,-0.04831291,-1.7241609,-0.038698826,0.005712279,-1.5235078,-0.059295848,0.008616766,0.038569987,-0.0030106066,0.00043749594,-0.49803346,0.019019354,0.0
