timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
1777227518585000,4.2303633e-05,-4.4774242e-05,3.092635e-05
1777227518785000,-1.8213033e-05,7.894461e-05,2.4444182e-05
1777227518985000,3.0136245e-05,0.00015946414,-4.4862667e-05
1777227519185000,6.645578e-07,0.0001854596,4.1552783e-05
1777227519385000,-2.0605543e-05,0.00020295088,7.194048e-05
1777227519585000,6.302957e-05,0.0001778547,1.5668176e-05
1777227519785000,-4.2631164e-06,0.00014832578,-5.9455604e-05
1777227519985000,2.556525e-05,9.2131486e-05,-9.0958776e-05
1777227520185000,-1.2114291e-05,1.6226913e-05,-8.02444e-06
1777227520385000,2.6986334e-05,-4.7312875e-05,1.2301201e-05
1777227520585000,5.5079814e-05,-4.9949973e-05,-1.4642099e-05
1777227520785000,7.211361e-05,-2.157125e-06,1.4266849e-05
1777227520985000,-8.14365e-06,-6.41407e-05,6.627071e-05
1777227521185000,-5.9355887e-05,-2.0890137e-05,2.4158924e-05
1777227521381000,-5.355479e-05,2.1984588e-05,1.29146765e-05
1777227521585000,-0.0001312071,1.4283556e-05,-5.962363e-07
1777227521785000,6.4560336e-06,-2.647136e-05,-5.7626392e-05
1777227521985000,-6.843955e-06,-5.197528e-05,-7.072021e-05
1777227522185000,2.922285e-05,1.4181583e-05,-3.963972e-05
1777227522385000,2.5534524e-05,-3.0673335e-05,-5.8174617e-05
1777227522585000,2.0395188e-05,-3.5689092e-05,-1.0182757e-05
1777227522785000,-7.8872625e-05,-9.760004e-05,4.7727008e-05
1777227522985000,-6.234651e-05,-1.398151e-05,8.136442e-05
1777227523185000,-7.942659e-05,3.6592464e-06,5.2064144e-05
1777227523385000,8.6000637e-07,2.295039e-06,6.008484e-05
1777227523585000,-8.209146e-07,4.0655512e-05,6.3594445e-05
1777227523785000,-2.8774586e-05,-1.6652395e-05,1.1404142e-05
1777227523985000,-0.0001244705,4.9034534e-05,-6.2083627e-06
1777227524185000,-2.2125174e-05,1.8462639e-05,-4.3298824e-05
1777227524385000,2.2328048e-05,1.7161814e-05,-6.906788e-05
1777227524585000,6.477923e-06,3.0069863e-05,-5.6394063e-05
1777227524785000,4.984213e-05,1.5854785e-06,-8.351265e-05
1777227524985000,7.478883e-05,-7.0888455e-05,-4.6853533e-05
1777227525185000,8.204511e-05,-3.078109e-05,-3.362487e-05
1777227525385000,-4.802573e-05,3.7800623e-05,1.0122128e-05
1777227525585000,-5.640197e-05,3.192863e-06,2.5936466e-05
1777227525785000,2.4842871e-05,2.0466097e-05,5.4648544e-06
1777227525985000,0.000102644226,-6.808942e-06,1.0953064e-05
1777227526181000,6.372138e-05,-2.8162885e-05,-4.5850873e-05
1777227526385000,4.4194203e-05,1.1707461e-05,-1.0767499e-06
1777227526585000,-4.5416145e-05,-1.0760074e-05,2.2939437e-05
1777227526785000,-1.8837773e-06,-2.8253731e-05,1.7190067e-05
1777227526981000,1.972785e-07,-6.412414e-05,3.9690858e-05
1777227527185000,-8.706977e-06,-4.577919e-05,9.662009e-06
1777227527385000,-2.1658661e-06,-1.3402326e-05,-4.9082464e-05
1777227527585000,2.3821623e-05,-3.263361e-05,3.7665313e-06
1777227527785000,-2.1310003e-05,-0.000105006955,-1.2308079e-05
1777227527985000,4.2775548e-05,-4.0076306e-05,-2.5020374e-05
1777227528185000,3.2815697e-05,-1.7179926e-05,-1.4976631e-05
1777227528385000,-2.0076719e-05,-7.833065e-06,5.5515928e-05
1777227528585000,-6.196425e-05,5.0241695e-05,1.3739785e-05
1777227528785000,-5.3955482e-05,2.9614113e-05,-2.388172e-06
1777227528985000,-7.723139e-05,-6.9295347e-06,3.5438086e-05
1777227529185000,-0.000100516496,3.056777e-05,7.094818e-05
1777227529385000,-3.5856414e-05,9.413394e-06,3.076679e-05
1777227529585000,-6.474051e-05,2.1448757e-05,-1.0275947e-05
1777227529785000,2.6059586e-05,-7.468133e-05,-4.9092432e-05
1777227529985000,3.2023152e-05,-1.2776856e-05,1.2846097e-05
1777227530185000,6.3768634e-06,3.5422585e-05,-6.704079e-06
1777227530385000,-4.747599e-06,-2.5796475e-05,3.203429e-05
1777227530581000,2.0257544e-06,3.4246783e-05,2.2584092e-05
1777227530785000,1.8872146e-07,-2.3310884e-05,3.7908918e-05
1777227530985000,1.9786157e-05,3.6627454e-05,2.9196046e-05
1777227531185000,-2.6404365e-05,-3.236762e-05,-9.066419e-06
1777227531385000,6.102811e-05,-1.2384481e-05,2.866846e-06
1777227531585000,5.4938944e-05,-4.503516e-06,-1.7953105e-05
1777227531785000,7.398776e-05,-4.5947952e-05,-8.477776e-05
1777227531981000,5.718246e-05,-2.478334e-06,-6.736509e-05
1777227532185000,6.3016996e-05,4.2579964e-06,-6.86243e-05
1777227532385000,-1.6193673e-05,1.6569496e-05,-5.329895e-06
1777227532585000,-3.0833792e-06,-5.6611836e-05,2.0993102e-05
1777227532785000,1.6968623e-05,-3.8232793e-07,3.1834352e-05
1777227532985000,2.8293329e-05,-7.3261253e-06,6.177308e-05
1777227533185000,1.9673736e-05,9.509236e-06,5.069352e-05
1777227533385000,-3.5116373e-05,-2.2902248e-05,-9.606603e-06
1777227533585000,2.2502856e-05,2.302755e-06,-6.317918e-05
1777227533785000,4.4305976e-05,-8.047289e-06,-0.00010204285
1777227533985000,-5.1717467e-05,2.5240763e-05,3.4182e-05
1777227534185000,1.3825001e-05,5.0077088e-06,3.329837e-05
1777227534385000,4.3523596e-05,-2.6990969e-05,1.071204e-05
1777227534585000,3.58575e-05,-1.1926967e-05,-1.3784447e-06
1777227534785000,1.165024e-05,-8.959025e-06,4.3521897e-05
1777227534985000,-7.6867946e-05,3.322537e-05,1.1105825e-05
1777227535185000,-2.1942487e-05,-1.2967994e-06,-2.1488657e-05
1777227535385000,2.0351422e-06,-3.5629095e-05,-1.2889683e-05
1777227535585000,-5.710509e-05,-1.2438742e-05,1.5065881e-05
1777227535785000,-9.049654e-05,5.7591402e-05,2.3399054e-05
1777227535985000,-8.062589e-05,3.03654e-05,7.221879e-06
1777227536185000,-3.7172493e-05,7.5915756e-05,-1.6226108e-05
1777227536385000,1.3476243e-05,3.7676997e-05,-2.4889552e-05
1777227536585000,8.495544e-05,3.0412102e-06,-7.033462e-05
1777227536785000,6.996766e-05,-6.3703956e-05,2.9596145e-05
1777227536985000,-1.2004103e-05,-6.5970555e-05,7.3563526e-05
1777227537185000,-3.3188517e-05,-5.6983845e-05,7.408799e-05
1777227537385000,7.3404626e-06,3.22068e-05,2.790238e-05
1777227537585000,-2.5592528e-05,1.7205126e-05,3.9606544e-05
1777227537785000,-4.5434732e-05,-2.748963e-05,-9.244552e-06
