timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],states[24],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
1777227508573000,1777227508421000,0.9999849,0.0011544202,0.0001929007,-0.0053746863,-0.010825229,0.003326367,-1.4914737,0.0,0.0,-494.14935,0.0007488362,0.0001079937,0.0007140192,-0.0024888732,-0.004253364,0.0088161165,0.21500987,0.0108641945,0.4306451,1.7795513e-05,0.00017611837,-0.0009744476,0.0,0.0,-488.01572,9.518528e-06,9.400721e-06,0.00029205345,0.0033017178,0.0033072548,0.002455232,0.007408495,0.0074143014,0.012957996,1.4788584e-07,1.477867e-07,3.0972987e-07,8.269245e-05,9.095518e-05,8.598288e-06,1.663945e-06,3.839376e-06,0.00010047215,1.1749579e-06,1.3864952e-06,9.964921e-05,1.0,1.0,1.456121,25
1777227508581000,1777227508429000,0.9999848,0.001139222,0.00016641013,-0.005399539,-0.010641282,0.0043215435,-1.4913316,0.0,0.0,-494.1613,0.0007488362,0.0001079937,0.0007140192,-0.0024888732,-0.004253364,0.0088161165,0.21500987,0.0108641945,0.4306451,1.7795513e-05,0.00017611837,-0.0009744476,0.0,0.0,-488.01572,9.540726e-06,9.422892e-06,0.00029215767,0.0033261064,0.003331688,0.0024634064,0.007458953,0.0074648573,0.013015684,1.4794985e-07,1.478507e-07,3.0979388e-07,8.2693026e-05,9.095576e-05,8.598864e-06,1.664009e-06,3.83944e-06,0.000100472214,1.1749586e-06,1.3864959e-06,9.964921e-05,1.0,1.0,1.457721,25
1777227508597000,1777227508445000,0.9999848,0.0010533534,0.00023385152,-0.0054202774,-0.011121682,0.0054754163,-1.4919562,0.0,0.0,-494.18515,0.00074893667,0.00010676192,0.00071393145,-0.0024883125,-0.0042536133,0.008816006,0.21501002,0.0108643705,0.430645,1.7834715e-05,0.00017617863,-0.00097442506,0.0,0.0,-488.01572,9.446169e-06,9.32953e-06,0.00029234344,0.003217314,0.0032224709,0.0024265256,0.0072354074,0.007240761,0.012758273,1.4768496e-07,1.4758962e-07,3.0991106e-07,8.269408e-05,9.0956804e-05,8.596244e-06,1.6641294e-06,3.83956e-06,0.000100472345,1.1749594e-06,1.3864961e-06,9.964921e-05,1.0,1.0,1.460921,25
1777227508605000,1777227508453000,0.9999847,0.0010543733,0.00025092784,-0.005421648,-0.011343036,0.0053840512,-1.4922569,0.0,0.0,-494.19708,0.00074893667,0.00010676192,0.00071393145,-0.0024883125,-0.0042536133,0.008816006,0.21501002,0.0108643705,0.430645,1.7834715e-05,0.00017617863,-0.00097442506,0.0,0.0,-488.01572,9.4683055e-06,9.351641e-06,0.00029244774,0.003241367,0.003246579,0.0024346954,0.0072841104,0.0072895554,0.0128148515,1.4774896e-07,1.4765362e-07,3.0997506e-07,8.2694656e-05,9.095738e-05,8.5968195e-06,1.6641934e-06,3.8396242e-06,0.00010047241,1.1749601e-06,1.3864968e-06,9.964921e-05,1.0,1.0,1.4625211,25
1777227508613000,1777227508461000,0.9999848,0.0010354581,0.00022603486,-0.0054241247,-0.011360594,0.0059882556,-1.4923455,0.0,0.0,-494.209,0.00074893667,0.00010676192,0.00071393145,-0.0024883125,-0.0042536133,0.008816006,0.21501002,0.0108643705,0.430645,1.7834715e-05,0.00017617863,-0.00097442506,0.0,0.0,-488.01572,9.490457e-06,9.373766e-06,0.000292552,0.0032655154,0.00327077,0.0024428668,0.007333309,0.0073388466,0.012871745,1.4781297e-07,1.4771763e-07,3.1003907e-07,8.269523e-05,9.0957954e-05,8.597395e-06,1.6642574e-06,3.8396884e-06,0.000100472476,1.1749607e-06,1.3864975e-06,9.964921e-05,1.0,1.0,1.4641211,25
1777227508621000,1777227508469000,0.99998474,0.0010214025,0.00011536386,-0.0054298854,-0.011129333,0.0064241537,-1.4926356,0.0,0.0,-494.22095,0.00074893667,0.00010676192,0.00071393145,-0.0024883125,-0.0042536133,0.008816006,0.21501002,0.0108643705,0.430645,1.7834715e-05,0.00017617863,-0.00097442506,0.0,0.0,-488.01572,9.512632e-06,9.395914e-06,0.0002926564,0.0032898125,0.003295133,0.0024510394,0.0073830076,0.007388639,0.012928954,1.4787697e-07,1.4778163e-07,3.1010308e-07,8.2695806e-05,9.095853e-05,8.597971e-06,1.6643214e-06,3.8397525e-06,0.00010047254,1.1749614e-06,1.3864982e-06,9.964921e-05,1.0,1.0,1.4657211,25
1777227508637000,1777227508485000,0.9999847,0.0009962,-2.762555e-05,-0.0054488108,-0.012304197,0.0069874446,-1.492978,0.0,0.0,-494.245,0.00074938004,0.00010545587,0.00071323005,-0.0024876436,-0.004253737,0.008816282,0.21500993,0.01086452,0.43064445,1.7769888e-05,0.00017628858,-0.00097429985,0.0,0.0,-488.01572,9.414992e-06,9.296871e-06,0.00029201648,0.0031816326,0.003186892,0.0024153932,0.007163352,0.007168633,0.012687427,1.4759989e-07,1.4750195e-07,3.0974334e-07,8.269665e-05,9.0959555e-05,8.595437e-06,1.6640879e-06,3.839872e-06,0.00010047224,1.1749139e-06,1.386491e-06,9.964918e-05,1.0,1.0,1.4689212,25
1777227508645000,1777227508493000,0.9999845,0.0009959808,-4.2461863e-05,-0.0054837675,-0.012170056,0.0073533016,-1.4931916,0.0,0.0,-494.25693,0.00074938004,0.00010545587,0.00071323005,-0.0024876436,-0.004253737,0.008816282,0.21500993,0.01086452,0.43064445,1.7769888e-05,0.00017628858,-0.00097429985,0.0,0.0,-488.01572,9.4371e-06,9.318952e-06,0.00029212062,0.0032055178,0.0032108417,0.002423562,0.007211322,0.007216694,0.012743597,1.476639e-07,1.4756596e-07,3.0980735e-07,8.2697225e-05,9.096013e-05,8.596013e-06,1.6641519e-06,3.839936e-06,0.00010047231,1.1749146e-06,1.3864917e-06,9.964918e-05,1.0,1.0,1.4705212,25
1777227508653000,1777227508501000,0.99998456,0.00096559065,-2.2542321e-05,-0.005487266,-0.0120176,0.0076619247,-1.4930394,0.0,0.0,-494.26895,0.00074938004,0.000105455874,0.00071323005,-0.0024876564,-0.0042537386,0.008816466,0.21500993,0.01086452,0.43064445,1.7770426e-05,0.0001762886,-0.0009743001,0.0,0.0,-488.01572,9.459228e-06,9.341054e-06,0.00029222487,0.0032294334,0.0032348253,0.0024307186,0.0072597815,0.007265246,0.012786832,1.477279e-07,1.4762996e-07,3.0987135e-07,8.26978e-05,9.0960704e-05,8.5965185e-06,1.6642159e-06,3.8400003e-06,0.000100472374,1.1749153e-06,1.3864924e-06,9.964918e-05,1.0,1.0,1.4721212,25
1777227508661000,1777227508509000,0.9999845,0.00095650274,-3.2619948e-06,-0.005501949,-0.012090277,0.007856848,-1.4935359,0.0,0.0,-494.28088,0.00074938004,0.000105455874,0.00071323005,-0.0024876564,-0.0042537386,0.008816466,0.21500993,0.01086452,0.43064445,1.7770426e-05,0.0001762886,-0.0009743001,0.0,0.0,-488.01572,9.481375e-06,9.363174e-06,0.00029232915,0.0032535945,0.0032590441,0.0024388894,0.007308734,0.0073142927,0.012843571,1.4779191e-07,1.4769397e-07,3.0993536e-07,8.2698374e-05,9.096128e-05,8.597094e-06,1.6642799e-06,3.8400644e-06,0.00010047244,1.174916e-06,1.3864931e-06,9.964918e-05,1.0,1.0,1.4737213,25
1777227508677000,1777227508525000,0.9999844,0.00090796093,3.4391553e-05,-0.0055211955,-0.012075608,0.008327232,-1.4945575,0.0,0.0,-494.3048,0.00074938004,0.000105455874,0.00071323005,-0.0024876564,-0.0042537386,0.008816466,0.21500993,0.01086452,0.43064445,1.7770426e-05,0.0001762886,-0.0009743001,0.0,0.0,-488.01572,9.525725e-06,9.40747e-06,0.00029253776,0.0033022668,0.003307841,0.002455234,0.007408138,0.0074138874,0.012957995,1.4791992e-07,1.4782198e-07,3.1006337e-07,8.2699524e-05,9.096243e-05,8.598246e-06,1.6644079e-06,3.8401927e-06,0.00010047257,1.1749173e-06,1.3864944e-06,9.964918e-05,1.0,1.0,1.4769213,25
1777227508685000,1777227508533000,0.99998456,0.0009017027,-1.2966848e-05,-0.005489069,-0.011737961,0.009139986,-1.4947847,0.0,0.0,-494.31677,0.00074938004,0.000105455874,0.00071323005,-0.0024876564,-0.0042537386,0.008816466,0.21500993,0.01086452,0.43064445,1.7770426e-05,0.0001762886,-0.0009743001,0.0,0.0,-488.01572,9.547929e-06,9.429647e-06,0.00029264216,0.0033267373,0.0033323744,0.0024634085,0.007458597,0.0074644443,0.013015683,1.4798393e-07,1.4788598e-07,3.1012738e-07,8.27001e-05,9.0963e-05,8.598821e-06,1.6644719e-06,3.840257e-06,0.00010047264,1.174918e-06,1.3864951e-06,9.964918e-05,1.0,1.0,1.4785213,25
1777227508693000,1777227508541000,0.99998456,0.0009123828,-5.834307e-05,-0.0054917764,-0.012483513,0.009291561,-1.4950129,0.0,0.0,-494.32874,0.00074986083,0.00010406084,0.0007132017,-0.0024869812,-0.0042538885,0.0088161705,0.21501014,0.010864683,0.4306443,1.7822571e-05,0.00017634437,-0.00097426644,0.0,0.0,-488.01572,9.4310835e-06,9.314034e-06,0.00029272385,0.0031939212,0.0031990851,0.0024193658,0.0071868547,0.007192066,0.0127151385,1.4765439e-07,1.4756027e-07,3.1018058e-07,8.270058e-05,9.096348e-05,8.595695e-06,1.6645286e-06,3.8403123e-06,0.0001004727,1.1749181e-06,1.3864945e-06,9.964918e-05,1.0,1.0,1.4801214,25
