timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]
1777227526885000,0.0,0.9998549,-0.0010151963,-0.017001916,-1.7262788e-05,0.0,0.0,-0.49104905
1777227526933000,0.0,0.9999058,-0.0007330642,-0.013703412,-1.0046427e-05,0.0,0.0,-0.4907483
1777227526981000,0.0,0.9998517,-0.00082995195,-0.017200993,-1.42781155e-05,0.0,0.0,-0.49113607
1777227527029000,0.0,0.99990755,-0.0007884905,-0.013574678,-1.0704495e-05,0.0,0.0,-0.49068132
1777227527085000,0.0,0.9998503,-0.000600187,-0.01729518,-1.0381898e-05,0.0,0.0,-0.49096823
1777227527133000,0.0,0.9999029,-0.0006546013,-0.0139177535,-9.1114625e-06,0.0,0.0,-0.4905303
1777227527181000,0.0,0.9998505,-0.0003643978,-0.01728711,-6.3003267e-06,0.0,0.0,-0.49105817
1777227527229000,0.0,0.999903,-0.00010014556,-0.013925291,-1.3946913e-06,0.0,0.0,-0.490779
1777227527285000,0.0,0.9998455,-0.0002580805,-0.017575383,-4.536564e-06,0.0,0.0,-0.49102098
1777227527333000,0.0,0.9999032,-0.00028681714,-0.013911989,-3.990583e-06,0.0,0.0,-0.49085644
1777227527381000,0.0,0.9998531,-0.00022287793,-0.017142372,-3.8212174e-06,0.0,0.0,-0.49096286
1777227527437000,0.0,0.9999508,-0.00022584412,-0.009912964,-2.2388947e-06,0.0,0.0,-0.4902591
1777227527477000,0.0,0.9999486,-0.00036705146,-0.010133279,-3.719626e-06,0.0,0.0,-0.4902655
1777227527533000,0.0,0.99990964,-0.00029254687,-0.013442295,-3.932857e-06,0.0,0.0,-0.4905503
1777227527581000,0.0,0.9998545,-0.00016961744,-0.01705671,-2.8935362e-06,0.0,0.0,-0.4911045
1777227527629000,0.0,0.9999044,-0.0005208402,-0.013818119,-7.1977215e-06,0.0,0.0,-0.49091685
1777227527677000,0.0,0.9999451,-0.00019273843,-0.010472115,-2.0184896e-06,0.0,0.0,-0.49030736
1777227527733000,0.0,0.999897,0.0002387721,-0.014348417,3.4263544e-06,0.0,0.0,-0.4908083
1777227527781000,0.0,0.99983823,0.0005528829,-0.017979382,9.942102e-06,0.0,0.0,-0.49123773
1777227527829000,0.0,0.9998991,0.00049616734,-0.014197717,7.0451533e-06,0.0,0.0,-0.49109524
1777227527877000,0.0,0.9999421,0.000852232,-0.010725014,9.140728e-06,0.0,0.0,-0.4906354
1777227527933000,0.0,0.99989235,0.00087660394,-0.014644587,1.2838886e-05,0.0,0.0,-0.49118495
1777227527981000,0.0,0.99983287,0.0010329544,-0.018255286,1.886003e-05,0.0,0.0,-0.49149555
1777227528029000,0.0,0.99989057,0.0013478608,-0.01473267,1.9859763e-05,0.0,0.0,-0.49112627
1777227528077000,0.0,0.9999349,0.0014906217,-0.011311703,1.6862568e-05,0.0,0.0,-0.4908212
1777227528133000,0.005585054,0.99988544,0.001397383,-0.015071092,-5.7101657e-05,0.0,0.0,-0.49103448
1777227528181000,0.0,0.9998255,0.0017468723,-0.018600896,3.2499065e-05,0.0,0.0,-0.49140513
1777227528229000,0.0,0.9998859,0.0016226599,-0.015019761,2.4374747e-05,0.0,0.0,-0.49115944
1777227528285000,0.0,0.9998267,0.0016908499,-0.018538678,3.135155e-05,0.0,0.0,-0.49158093
1777227528333000,0.0,0.9998843,0.0017945026,-0.015106117,2.7111106e-05,0.0,0.0,-0.49127313
1777227528381000,0.0,0.9998288,0.0018193146,-0.018415177,3.350874e-05,0.0,0.0,-0.4914588
1777227528437000,0.0,0.99993116,0.0018724109,-0.011583642,2.169083e-05,0.0,0.0,-0.4905047
