timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
1777225723873000,1777225723721000,1310988,0.0007162606,-9.3479444e-05,0.00064596755,0.15,1.5628254e-07,1.4890674e-07,3.5146013e-07,1310988,0.053623464,-0.00091354497,0.0018086063,0.4,0.014869435,0.021900736,1.63058e-05,197388,0.0008149453,-0.002688175,0.0016892108,0.5,0.00036811706,7.35128e-05,0.00037013498,1,1,1,0,1,1
1777225724033000,1777225723881000,1310988,0.00070962,-9.087319e-05,0.0006420167,0.15,1.556305e-07,1.4888124e-07,3.5100837e-07,1310988,0.05393964,0.00034043228,0.0017312549,0.4,0.014859027,0.021824734,1.628494e-05,197388,0.00080720516,-0.0027088367,0.001685265,0.5,0.00036793522,7.347434e-05,0.00036995497,1,1,1,0,1,1
1777225724137000,1777225723985000,1310988,0.0007044628,-8.9148736e-05,0.0006397217,0.15,1.5514948e-07,1.4883031e-07,3.5089084e-07,1310988,0.05431757,0.0015818698,0.0016654781,0.4,0.014842119,0.021737503,1.6269403e-05,197388,0.0008061182,-0.002731444,0.0016796573,0.5,0.00036783025,7.342958e-05,0.0003698525,1,1,1,0,1,1
1777225724241000,1777225724089000,1310988,0.0006998466,-8.651227e-05,0.0006366807,0.15,1.546399e-07,1.4874308e-07,3.5024703e-07,1310988,0.05493967,0.002867393,0.0015832824,0.4,0.014811278,0.021607121,1.6252015e-05,197388,0.0008306917,-0.0027622415,0.0016785994,0.5,0.00036760766,7.3341325e-05,0.000369638,1,1,1,0,1,1
1777225724345000,1777225724193000,1310988,0.00069549127,-8.32206e-05,0.00063437293,0.15,1.5411804e-07,1.4864122e-07,3.4963043e-07,1310988,0.05569314,0.004344323,0.0014871914,0.4,0.014760043,0.021421423,1.6232032e-05,197388,0.0008917083,-0.002795668,0.0016781864,0.5,0.00036736528,7.320454e-05,0.00036940668,1,1,1,0,1,1
1777225724449000,1777225724297000,1310988,0.0006909701,-7.9585545e-05,0.0006311215,0.15,1.5360446e-07,1.485489e-07,3.4959626e-07,1310988,0.056729805,0.006293009,0.0013824899,0.4,0.014681746,0.021169385,1.6208693e-05,197388,0.0008549489,-0.0028517912,0.0017314941,0.5,0.00036723493,7.301468e-05,0.0003692871,1,1,1,0,1,1
1777225724553000,1777225724401000,1310988,0.0006873775,-7.65886e-05,0.0006334775,0.15,1.5310296e-07,1.484356e-07,3.490426e-07,1310988,0.05770425,0.0079221055,0.0012809696,0.4,0.014575742,0.020855714,1.6181952e-05,197388,0.00089612143,-0.002873321,0.0017265099,0.5,0.00036698312,7.274964e-05,0.00036905258,1,1,1,0,1,1
1777225724657000,1777225724505000,1310988,0.0006836565,-7.458724e-05,0.0006323949,0.15,1.5265549e-07,1.4835314e-07,3.4907305e-07,1310988,0.058530927,0.009699097,0.0011946391,0.4,0.014449993,0.020505676,1.6152766e-05,197388,0.0008867084,-0.0029205652,0.0017224309,0.5,0.00036684875,7.245287e-05,0.00036893343,1,1,1,0,1,1
1777225724761000,1777225724609000,1310988,0.0006814923,-7.221925e-05,0.00062968186,0.15,1.523831e-07,1.4839667e-07,3.4870703e-07,1310988,0.059842326,0.010862648,0.0011032746,0.4,0.01431072,0.02013666,1.6123004e-05,197388,0.0008116846,-0.0029644284,0.0017466419,0.5,0.00036658853,7.211764e-05,0.00036869405,1,1,1,0,1,1
1777225724865000,1777225724713000,1310988,0.00067948224,-6.9614354e-05,0.0006253557,0.15,1.520519e-07,1.4835032e-07,3.4878647e-07,1310988,0.06094922,0.012183457,0.0010237999,0.4,0.014172074,0.019781716,1.6091992e-05,197388,0.00080167927,-0.0030188826,0.0017434508,0.5,0.0003664756,7.180126e-05,0.0003685973,1,1,1,0,1,1
1777225724969000,1777225724817000,1310988,0.00067658845,-6.853954e-05,0.0006228824,0.15,1.517803e-07,1.483138e-07,3.483213e-07,1310988,0.061256513,0.013757477,0.00096676225,0.4,0.0140443975,0.01946232,1.6062264e-05,197388,0.0008214236,-0.0030696823,0.0017320934,0.5,0.00036636624,7.150409e-05,0.00036850455,1,1,1,0,1,1
1777225725073000,1777225724921000,1310988,0.00067312433,-6.8458074e-05,0.00062198454,0.15,1.5157514e-07,1.483242e-07,3.484168e-07,1310988,0.061227005,0.015538499,0.0009250909,0.4,0.013932186,0.019184427,1.6034375e-05,197388,0.00081674143,-0.0031190633,0.0017280192,0.5,0.0003663359,7.1259805e-05,0.00036848572,1,1,1,0,1,1
1777225725177000,1777225725025000,1310988,0.00067059544,-6.9899106e-05,0.00061873853,0.15,1.5140972e-07,1.4833888e-07,3.4794806e-07,1310988,0.06058251,0.016792297,0.00090045616,0.4,0.013837793,0.018951776,1.6008591e-05,197388,0.0008222687,-0.0031658448,0.001730295,0.5,0.00036630896,7.104828e-05,0.00036846905,1,1,1,0,1,1
1777225725281000,1777225725129000,1310988,0.00066709745,-7.046795e-05,0.0006173219,0.15,1.5129302e-07,1.4839354e-07,3.4803207e-07,1310988,0.059878718,0.018291198,0.0008890338,0.4,0.013763025,0.018765453,1.5985164e-05,197388,0.0008457493,-0.0032058153,0.0017225472,0.5,0.00036629583,7.089538e-05,0.00036846354,1,1,1,0,1,1
1777225725385000,1777225725233000,1310988,0.00066443835,-7.1850656e-05,0.0006154062,0.15,1.5119946e-07,1.4844397e-07,3.4754524e-07,1310988,0.059072025,0.019310314,0.00088860217,0.4,0.013705945,0.018621784,1.5963864e-05,197388,0.00086006016,-0.0032362915,0.0017223213,0.5,0.00036628198,7.0770184e-05,0.0003684563,1,1,1,0,1,1
1777225725489000,1777225725337000,1310988,0.000661236,-7.374728e-05,0.00061473757,0.15,1.5113831e-07,1.485255e-07,3.476117e-07,1310988,0.058431935,0.020358568,0.00088769867,0.4,0.013663856,0.018512445,1.5944353e-05,197388,0.00086695666,-0.0032592732,0.0017249639,0.5,0.0003662729,7.068945e-05,0.00036845234,1,1,1,0,1,1
