timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
1777225646185000,1777225646031000,0,47.397742,8.545593799999999,0,100.0,100.0,-5240971.0,-951291.1,-100.00007,-100.00007,100.00013,100.00013,10987097000.0,361981440.0,-4.0,-4.0,0,1,0
1777225646241000,1777225646083000,0,47.397742,8.545593799999999,0,100.0,100.0,-5240971.0,-951291.1,-100.000084,-100.000084,100.00017,100.00017,10987093000.0,361981300.0,-4.0,-4.0,0,1,0
1777225646289000,1777225646135000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00008,100.00008,10987102000.0,361981660.0,-4.0,-4.0,0,1,0
1777225646345000,1777225646187000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.0001,100.0001,10987100000.0,361981600.0,-4.0,-4.0,0,1,0
1777225646393000,1777225646239000,0,47.397742099999995,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00007,-100.00006,100.00013,100.00012,10987097000.0,361981540.0,-4.0,-4.0,0,1,0
1777225646449000,1777225646291000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00008,-100.00008,100.00016,100.00016,10987094000.0,361981400.0,-4.0,-4.0,0,1,0
1777225646497000,1777225646343000,0,47.397742,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00008,100.00008,10987102000.0,361981660.0,-4.0,-4.0,0,1,0
1777225646553000,1777225646395000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.0001,100.0001,10987100000.0,361981600.0,-4.0,-4.0,0,1,0
1777225646601000,1777225646447000,0,47.3977419,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.00012,100.00012,10987098000.0,361981540.0,-4.0,-4.0,0,1,0
1777225646657000,1777225646499000,0,47.3977419,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00008,-100.00008,100.00016,100.00016,10987094000.0,361981400.0,-4.0,-4.0,0,1,0
1777225646705000,1777225646551000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00008,100.00008,10987102000.0,361981660.0,-4.0,-4.0,0,1,0
1777225646761000,1777225646603000,0,47.397742,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.0001,100.0001,10987100000.0,361981600.0,-4.0,-4.0,0,1,0
1777225646809000,1777225646655000,0,47.397742099999995,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.00012,100.00012,10987098000.0,361981540.0,-4.0,-4.0,0,1,0
1777225646865000,1777225646707000,0,47.397742199999996,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00008,-100.00008,100.00016,100.00016,10987094000.0,361981400.0,-4.0,-4.0,0,1,0
1777225646913000,1777225646759000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00008,100.00008,10987102000.0,361981660.0,-4.0,-4.0,0,1,0
1777225646969000,1777225646811000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.0001,100.0001,10987100000.0,361981600.0,-4.0,-4.0,0,1,0
1777225647017000,1777225646863000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.00012,100.00012,10987098000.0,361981540.0,-4.0,-4.0,0,1,0
1777225647073000,1777225646915000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00008,-100.00008,100.00015,100.00015,10987094000.0,361981400.0,-4.0,-4.0,0,1,0
1777225647121000,1777225646967000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00008,100.00008,10987102000.0,361981660.0,-4.0,-4.0,0,1,0
1777225647177000,1777225647019000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.00009,100.00009,10987101000.0,361981630.0,-4.0,-4.0,0,1,0
1777225647225000,1777225647071000,0,47.3977419,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.00012,100.00012,10987098000.0,361981540.0,-4.0,-4.0,0,1,0
1777225647281000,1777225647123000,0,47.3977419,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00008,-100.00008,100.00015,100.00015,10987094000.0,361981400.0,-4.0,-4.0,0,1,0
1777225647329000,1777225647175000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00007,100.00007,10987103000.0,361981730.0,-4.0,-4.0,0,1,0
1777225647385000,1777225647227000,0,47.3977419,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.00009,100.00009,10987101000.0,361981630.0,-4.0,-4.0,0,1,0
1777225647433000,1777225647279000,0,47.397742,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.00012,100.00012,10987098000.0,361981540.0,-4.0,-4.0,0,1,0
1777225647489000,1777225647331000,0,47.3977419,8.5455937,0,100.0,100.0,-5240971.0,-951291.1,-100.00008,-100.00008,100.00015,100.00015,10987094000.0,361981340.0,-4.0,-4.0,0,1,0
1777225647537000,1777225647383000,0,47.3977419,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00007,100.00007,10987103000.0,361981730.0,-4.0,-4.0,0,1,0
1777225647593000,1777225647435000,0,47.397742,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.00009,100.00009,10987101000.0,361981630.0,-4.0,-4.0,0,1,0
1777225647641000,1777225647487000,0,47.397742,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.000114,100.000114,10987098000.0,361981540.0,-4.0,-4.0,0,1,0
1777225647697000,1777225647539000,0,47.3977419,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00008,-100.00008,100.00015,100.00015,10987094000.0,361981400.0,-4.0,-4.0,0,1,0
1777225647745000,1777225647591000,0,47.3977419,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00007,100.00007,10987103000.0,361981730.0,-4.0,-4.0,0,1,0
1777225647801000,1777225647643000,0,47.3977419,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.00009,100.00009,10987101000.0,361981630.0,-4.0,-4.0,0,1,0
1777225647849000,1777225647695000,0,47.397742,8.5455942,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.000114,100.000114,10987098000.0,361981540.0,-4.0,-4.0,0,1,0
1777225647905000,1777225647747000,0,47.3977419,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00008,-100.00008,100.000145,100.000145,10987095000.0,361981440.0,-4.0,-4.0,0,1,0
1777225647953000,1777225647799000,0,47.3977417,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00007,100.00007,10987103000.0,361981730.0,-4.0,-4.0,0,1,0
1777225648009000,1777225647851000,0,47.3977418,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.00009,100.00009,10987101000.0,361981630.0,-4.0,-4.0,0,1,0
1777225648057000,1777225647903000,0,47.397742,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.000114,100.000114,10987098000.0,361981540.0,-4.0,-4.0,0,1,0
1777225648113000,1777225647955000,0,47.3977419,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00008,-100.00008,100.000145,100.000145,10987095000.0,361981440.0,-4.0,-4.0,0,1,0
1777225648161000,1777225648007000,0,47.3977419,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00007,100.00007,10987103000.0,361981730.0,-4.0,-4.0,0,1,0
1777225648217000,1777225648059000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.00009,100.00009,10987101000.0,361981630.0,-4.0,-4.0,0,1,0
1777225648265000,1777225648111000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.000114,100.000114,10987098000.0,361981540.0,-4.0,-4.0,0,1,0
1777225648321000,1777225648163000,0,47.397742,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00008,-100.00008,100.000145,100.000145,10987095000.0,361981440.0,-4.0,-4.0,0,1,0
1777225648369000,1777225648215000,0,47.3977419,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00007,100.00007,10987103000.0,361981730.0,-4.0,-4.0,0,1,0
1777225648425000,1777225648267000,0,47.3977418,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.00009,100.00009,10987101000.0,361981630.0,-4.0,-4.0,0,1,0
1777225648473000,1777225648319000,0,47.397742,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00006,-100.00006,100.000114,100.000114,10987098000.0,361981540.0,-4.0,-4.0,0,1,0
1777225648529000,1777225648371000,0,47.3977419,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00008,-100.00008,100.000145,100.000145,10987095000.0,361981440.0,-4.0,-4.0,0,1,0
1777225648577000,1777225648423000,0,47.397742099999995,8.545593799999999,0,100.0,100.0,-5240971.0,-951291.1,-100.00004,-100.00004,100.00007,100.00007,10987103000.0,361981660.0,-4.0,-4.0,0,1,0
1777225648633000,1777225648475000,0,47.3977419,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.00009,100.00009,10987101000.0,361981630.0,-4.0,-4.0,0,1,0
