timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,motor_stop_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
1777227148137000,-2.1667802e-08,-8.381903e-09,-1.2922101e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227148337000,-1.1641532e-10,-9.313226e-10,-1.0972144e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227148537000,-1.5312253e-08,9.19681e-09,-4.831236e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227148737000,6.519258e-09,5.5879354e-09,-7.21775e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227148937000,-3.7485734e-08,8.905772e-09,-7.3050614e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227149137000,7.799827e-09,-1.0477379e-08,1.8626451e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227149337000,-2.3981556e-08,7.916242e-09,-1.0477379e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227149537000,-3.213063e-08,-4.656613e-09,-4.10364e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227149729000,1.071021e-08,9.313226e-10,2.0721927e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227149937000,-2.6077032e-08,1.21071935e-08,7.785275e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227150137000,1.5410478e-08,4.10364e-09,8.265488e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227150337000,-5.3085387e-08,-1.8626451e-09,2.0168955e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227150537000,-3.259629e-09,1.2973032e-08,1.0884833e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227150737000,3.678724e-08,-1.3969839e-08,1.344597e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227150937000,1.8277206e-08,-1.1641532e-08,-1.9266736e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227151137000,2.7474016e-08,8.052666e-09,7.1595423e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227151337000,-7.566996e-09,-1.0477379e-09,3.5652192e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227151537000,1.9092113e-08,9.778887e-09,-2.6193447e-10,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227151737000,-1.2340024e-08,-1.2340024e-08,1.0128133e-08,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227151929000,4.2375177e-08,8.403731e-10,2.561137e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227152137000,-2.6309863e-08,-1.14087015e-08,-2.1957675e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227152337000,3.6729034e-08,4.2491592e-09,-6.4610504e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227152537000,-1.5832484e-08,-8.381903e-09,-6.184564e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227152737000,6.4028427e-09,-4.307367e-09,-8.098141e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227152937000,-2.7859642e-08,3.0966476e-08,1.15942385e-08,0.0,0.0,2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227153137000,-1.1525117e-08,-1.3853423e-08,6.1118044e-10,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227153337000,-2.4680048e-08,-9.134965e-09,-3.4313416e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227153537000,1.1525117e-08,1.5133992e-08,1.9179424e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227153737000,1.9557774e-08,1.2572855e-08,1.8510036e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227153937000,3.7252903e-09,6.519258e-09,9.662472e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227154137000,3.3294782e-08,1.2572855e-08,-9.662472e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227154337000,-2.7706847e-08,-4.656613e-10,3.108289e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227154537000,-1.6763806e-08,-1.0244548e-08,2.0161679e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227154737000,-5.0640665e-08,0.0,-1.34750735e-08,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227154937000,7.916242e-09,-2.561137e-08,-1.238368e-08,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227155137000,-3.678724e-08,-2.3283064e-09,-1.2980308e-08,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227155337000,1.2805685e-09,6.519258e-09,1.8742867e-08,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227155537000,-1.2747478e-08,-1.6530976e-08,9.00036e-09,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227155737000,-2.415618e-08,6.5774657e-09,7.2759576e-09,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227155937000,-1.4260877e-08,2.0489097e-08,1.6923877e-08,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227156137000,9.19681e-09,4.2200554e-09,1.4348188e-08,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227156337000,3.085006e-08,4.1909516e-09,1.094304e-08,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227156537000,5.0873496e-08,-2.4330802e-08,4.7439244e-09,0.0,0.0,2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227156737000,-2.4447218e-08,1.8626451e-08,-4.831236e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777227156937000,3.0267984e-09,1.6996637e-08,1.7462298e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
