timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],yaw_composite_valid
1777225797769000,1777225797617000,-0.005711327,0.0055926666,-0.03763056,-0.010400815,-0.005708171,-0.0010863527,0.0251737,2.9208604e-07,1.0537042e-07,7.543713e-08,4.307367e-08,-1.3741374e-07,6.8340596e-06,6.8392255e-06,6.840266e-06,6.8398367e-06,6.8389127e-06,6.989846e-06,0.0032350612,0.9941253,0.0026296526,3.061694e-06,1
1777225797777000,1777225797625000,-0.005711327,0.0055926666,-0.03764552,-0.0104157785,-0.005723133,-0.0011013149,0.025158731,2.9208604e-07,1.0537042e-07,7.543713e-08,4.307367e-08,-1.3741374e-07,6.8340596e-06,6.8392255e-06,6.840266e-06,6.8398367e-06,6.8389127e-06,6.989846e-06,0.0032350612,0.9941253,0.0026296526,3.061694e-06,1
1777225797785000,1777225797633000,-0.005711327,0.0055926666,-0.03761684,-0.010387099,-0.0056944555,-0.0010726366,0.025187412,2.9208604e-07,1.0537042e-07,7.543713e-08,4.307367e-08,-1.3741374e-07,6.8340596e-06,6.8392255e-06,6.840266e-06,6.8398367e-06,6.8389127e-06,6.989846e-06,0.0032350612,0.9941253,0.0026296526,3.061694e-06,1
1777225797793000,1777225797641000,-0.005711327,0.0055926666,-0.03761261,-0.010382865,-0.00569022,-0.0010684015,0.025191646,2.9208604e-07,1.0537042e-07,7.543713e-08,4.307367e-08,-1.3741374e-07,6.8340596e-06,6.8392255e-06,6.840266e-06,6.8398367e-06,6.8389127e-06,6.989846e-06,0.0032350612,0.9941253,0.0026296526,3.061694e-06,1
1777225797801000,1777225797649000,-0.005711327,0.0055926666,-0.037612658,-0.010382916,-0.005690273,-0.0010684546,0.025191594,2.9208604e-07,1.0537042e-07,7.543713e-08,4.307367e-08,-1.3741374e-07,6.8340596e-06,6.8392255e-06,6.840266e-06,6.8398367e-06,6.8389127e-06,6.989846e-06,0.0032350612,0.9941253,0.0026296526,3.061694e-06,1
1777225797809000,1777225797657000,-0.005711327,0.0055926666,-0.037601028,-0.010371287,-0.005678644,-0.001056825,0.025203226,2.9208604e-07,1.0537042e-07,7.543713e-08,4.307367e-08,-1.3741374e-07,6.8340596e-06,6.8392255e-06,6.840266e-06,6.8398367e-06,6.8389127e-06,6.989846e-06,0.0032350612,0.9941253,0.0026296526,3.061694e-06,1
1777225797817000,1777225797665000,-0.005679723,0.005596503,-0.03759895,-0.010369211,-0.0056765676,-0.0010547495,0.025205303,-0.0002851789,-0.00031465635,-0.00031971137,-0.00032468583,-0.00035281153,0.0010865461,0.0010783789,0.0010768909,0.0010754012,0.0010665054,6.989846e-06,0.0032350607,0.9941252,0.0026296526,3.061694e-06,1
1777225797825000,1777225797673000,-0.005679723,0.005596503,-0.037592612,-0.010362872,-0.005670226,-0.001048408,0.025211645,-0.0002851789,-0.00031465635,-0.00031971137,-0.00032468583,-0.00035281153,0.0010865461,0.0010783789,0.0010768909,0.0010754012,0.0010665054,6.989846e-06,0.0032350607,0.9941252,0.0026296526,3.061694e-06,1
1777225797833000,1777225797681000,-0.005679723,0.005596503,-0.037649136,-0.010419399,-0.005726754,-0.0011049357,0.025155118,-0.0002851789,-0.00031465635,-0.00031971137,-0.00032468583,-0.00035281153,0.0010865461,0.0010783789,0.0010768909,0.0010754012,0.0010665054,6.989846e-06,0.0032350607,0.9941252,0.0026296526,3.061694e-06,1
1777225797841000,1777225797689000,-0.005679723,0.005596503,-0.037720587,-0.010490844,-0.0057981983,-0.0011763807,0.02508367,-0.0002851789,-0.00031465635,-0.00031971137,-0.00032468583,-0.00035281153,0.0010865461,0.0010783789,0.0010768909,0.0010754012,0.0010665054,6.989846e-06,0.0032350607,0.9941252,0.0026296526,3.061694e-06,1
