timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
1777225825769000,0.018363008,-0.03291349,-0.00027072482,0.0,0.0,-0.49148363,0
1777225825793000,0.016941557,-0.034213193,-0.0003911127,0.0,0.0,-0.49159488,0
1777225825809000,0.015867805,-0.030852845,-0.00056757557,0.0,0.0,-0.49153522,0
1777225825829000,0.01400679,0.023974944,-0.0013130804,0.0,0.0,-0.49113998,0
1777225825849000,0.013980045,-0.030313307,-0.00023361068,0.0,0.0,-0.4914298,0
1777225825869000,0.014174313,0.027234646,-0.0016911265,0.0,0.0,-0.49112573,0
1777225825893000,0.010854249,-0.02569031,-0.0010299425,0.0,0.0,-0.49144563,0
1777225825909000,0.008472354,0.030880451,-0.0015971698,0.0,0.0,-0.49098876,0
1777225825929000,0.0049952455,-0.02260591,-0.0007569967,0.0,0.0,-0.49124253,0
1777225825949000,0.0024528748,0.033236023,-0.0016465939,0.0,0.0,-0.49083295,0
1777225825969000,0.0015727647,-0.020155901,-0.0011424666,0.0,0.0,-0.49113524,0
1777225825989000,0.0006865552,0.036472414,-0.002034205,0.0,0.0,-0.49071664,0
1777225826009000,-0.0026209652,-0.01511168,-0.0010928798,0.0,0.0,-0.49099952,0
1777225826029000,-0.002414222,0.042460553,-0.0021396037,0.0,0.0,-0.49045247,0
1777225826049000,-0.0038989878,-0.011169189,-0.0015241699,0.0,0.0,-0.49083355,0
1777225826069000,-0.005071047,0.044804685,-0.002705554,0.0,0.0,-0.49033275,0
1777225826089000,-0.0063241688,-0.008367715,-0.0017208242,0.0,0.0,-0.4907558,0
1777225826109000,-0.0059545315,0.046195444,-0.0025311355,0.0,0.0,-0.49048355,0
1777225826133000,-0.006863194,-0.008226937,-0.0016828247,0.0,0.0,-0.4908704,0
1777225826149000,-0.008094254,0.04924142,-0.0022724133,0.0,0.0,-0.4904608,0
1777225826173000,-0.009702066,-0.0044158944,-0.0017708684,0.0,0.0,-0.49079746,0
1777225826189000,-0.011313487,0.05061617,-0.002472524,0.0,0.0,-0.49036422,0
1777225826209000,-0.010611757,-0.002732909,-0.0014913218,0.0,0.0,-0.49071518,0
1777225826229000,-0.010855464,0.051362514,-0.0022606757,0.0,0.0,-0.4903264,0
1777225826253000,-0.012291901,-0.0015848232,-0.0012602129,0.0,0.0,-0.49078095,0
1777225826273000,-0.011749626,-0.0035608865,-0.0010841575,0.0,0.0,-0.49082074,0
1777225826289000,-0.010515556,-0.0040462827,-0.0011476722,0.0,0.0,-0.49071813,0
1777225826313000,-0.009596756,-0.004637042,-0.0005972443,0.0,0.0,-0.49061862,0
1777225826329000,-0.00913184,-0.005982391,-0.0003495614,0.0,0.0,-0.49068427,0
1777225826349000,-0.00950649,0.04648617,-0.0011936313,0.0,0.0,-0.4903744,0
1777225826369000,-0.010429544,-0.0054435753,-0.00032756582,0.0,0.0,-0.49067524,0
1777225826389000,-0.012588464,0.046437986,-0.0005334293,0.0,0.0,-0.49041936,0
1777225826409000,-0.011296473,-0.006310216,0.00038319975,0.0,0.0,-0.49074486,0
1777225826433000,-0.010570559,-0.0056870086,0.00042654996,0.0,0.0,-0.4907337,0
1777225826449000,-0.008954593,-0.0053661107,0.0007216104,0.0,0.0,-0.4906093,0
1777225826473000,-0.008426096,-0.004980577,0.00082723575,0.0,0.0,-0.49071965,0
1777225826493000,-0.010437487,-0.005310891,0.00062255736,0.0,0.0,-0.4907567,0
1777225826513000,-0.01061316,-0.005624154,0.0010897066,0.0,0.0,-0.49085918,0
1777225826529000,-0.011430089,-0.0050744903,0.0013124803,0.0,0.0,-0.49088234,0
1777225826553000,-0.01270064,-0.0033341912,0.0014012752,0.0,0.0,-0.49098536,0
1777225826573000,-0.011574093,-0.00063281186,0.0016626936,0.0,0.0,-0.49097192,0
1777225826593000,-0.013840352,-0.0019102453,0.0018742258,0.0,0.0,-0.49085498,0
1777225826609000,-0.013714564,-0.0015936494,0.0020112696,0.0,0.0,-0.49085632,0
1777225826629000,-0.012132461,0.05241214,0.0012631982,0.0,0.0,-0.49059153,0
1777225826653000,-0.013178958,-0.0029711355,0.0020561803,0.0,0.0,-0.49090382,0
1777225826669000,-0.013730421,0.051466238,0.0014858954,0.0,0.0,-0.49061447,0
1777225826689000,-0.014153984,-0.0027135354,0.0018880629,0.0,0.0,-0.49097282,0
1777225826713000,-0.011693359,-0.005303881,0.0021856527,0.0,0.0,-0.49115464,0
1777225826729000,-0.010237197,-0.0048325793,0.0022850248,0.0,0.0,-0.49121016,0
1777225826753000,-0.010398433,-0.006714298,0.0020500335,0.0,0.0,-0.49133545,0
1777225826769000,-0.009568187,-0.007111351,0.002055686,0.0,0.0,-0.4913901,0
1777225826789000,-0.010712856,0.046208035,0.00096825,0.0,0.0,-0.49114236,0
1777225826809000,-0.011809674,-0.011271805,0.0013562588,0.0,0.0,-0.49143988,0
1777225826829000,-0.010786536,0.042816255,0.0006315358,0.0,0.0,-0.49127573,0
1777225826853000,-0.010434263,-0.013318934,0.0006935943,0.0,0.0,-0.4916104,0
1777225826873000,-0.010861936,-0.014117603,0.0005129082,0.0,0.0,-0.49149114,0
1777225826889000,-0.010157579,-0.016043438,0.00019754645,0.0,0.0,-0.4915125,0
1777225826909000,-0.010133456,0.038128383,-0.00053824217,0.0,0.0,-0.49108008,0
1777225826929000,-0.010699397,-0.016899273,5.3026015e-05,0.0,0.0,-0.4912688,0
1777225826953000,-0.012962826,-0.014703797,0.0001745403,0.0,0.0,-0.4911908,0
1777225826969000,-0.011659595,-0.013123235,5.197896e-05,0.0,0.0,-0.4912115,0
1777225826989000,-0.010171507,0.04084392,-0.00043309265,0.0,0.0,-0.49100345,0
1777225827013000,-0.010273899,-0.017473968,0.00013014293,0.0,0.0,-0.49119648,0
1777225827029000,-0.009439153,0.038189832,-0.00025563652,0.0,0.0,-0.4909035,0
1777225827049000,-0.010789038,-0.0144420955,-0.00021687555,0.0,0.0,-0.49116603,0
1777225827069000,-0.011043226,0.043349434,-0.00070161925,0.0,0.0,-0.49075904,0
1777225827093000,-0.011155004,-0.010470825,-0.00052279176,0.0,0.0,-0.49101615,0
1777225827113000,-0.010811237,-0.012596737,-0.0007442018,0.0,0.0,-0.49094677,0
1777225827129000,-0.011585676,-0.012320421,-0.0007230301,0.0,0.0,-0.49088725,0
1777225827149000,-0.013091441,0.042686008,-0.0010161516,0.0,0.0,-0.4906135,0
1777225827169000,-0.0113663515,-0.01182734,-0.0006793195,0.0,0.0,-0.49089077,0
1777225827189000,-0.009473938,0.042088296,-0.0011869293,0.0,0.0,-0.49055564,0
1777225827209000,-0.010911787,-0.009644442,-0.0010026882,0.0,0.0,-0.49084574,0
1777225827229000,-0.00963256,0.044095065,-0.0014015294,0.0,0.0,-0.49057737,0
1777225827249000,-0.011685511,-0.014854355,-0.000823465,0.0,0.0,-0.49092987,0
1777225827269000,-0.011107782,0.040493988,-0.0010128526,0.0,0.0,-0.4906182,0
1777225827289000,-0.013009814,-0.0140768,-0.00044599446,0.0,0.0,-0.4907562,0
1777225827309000,-0.011837578,0.039557207,-0.000673047,0.0,0.0,-0.49040693,0
1777225827329000,-0.009640003,-0.015691118,-0.00053919654,0.0,0.0,-0.49054092,0
1777225827349000,-0.008308578,0.038393877,-0.00030424073,0.0,0.0,-0.49026304,0
1777225827369000,-0.0077132573,-0.015313091,1.1863369e-05,0.0,0.0,-0.49045533,0
1777225827389000,-0.007296636,0.041939404,-6.477229e-05,0.0,0.0,-0.4900764,0
1777225827409000,-0.008789461,-0.0129383905,0.00013945147,0.0,0.0,-0.49027538,0
1777225827433000,-0.009813919,-0.014212072,-0.00031056878,0.0,0.0,-0.49026826,0
1777225827449000,-0.010570983,-0.012931245,-0.00039203904,0.0,0.0,-0.49016282,0
1777225827469000,-0.008706748,0.040617906,-0.00036344223,0.0,0.0,-0.48998636,0
1777225827489000,-0.009411024,-0.016569203,0.00021634155,0.0,0.0,-0.49044976,0
1777225827509000,-0.009665224,0.036797933,-4.8657144e-05,0.0,0.0,-0.49005663,0
1777225827529000,-0.008246124,-0.020659909,0.0002573202,0.0,0.0,-0.49050128,0
1777225827553000,-0.006063562,-0.023792386,0.00029211465,0.0,0.0,-0.49064824,0
1777225827569000,-0.006851189,-0.023226134,0.00023029448,0.0,0.0,-0.4906263,0
1777225827589000,-0.006700308,0.031598,3.4442437e-05,0.0,0.0,-0.49030685,0
1777225827613000,-0.008270621,-0.02272091,-0.00011383017,0.0,0.0,-0.49053428,0
1777225827629000,-0.0074617476,0.033600565,-0.000318092,0.0,0.0,-0.49031106,0
1777225827649000,-0.0060086045,-0.02258818,-0.00013881287,0.0,0.0,-0.49058443,0
1777225827669000,-0.006155148,0.033111177,-0.00022020287,0.0,0.0,-0.49040282,0
1777225827693000,-0.0053110677,-0.022481792,-7.7343255e-05,0.0,0.0,-0.49080116,0
1777225827709000,-0.005137846,0.03189665,-0.0003914299,0.0,0.0,-0.49046052,0
1777225827729000,-0.004471238,-0.023591053,-0.00012977392,0.0,0.0,-0.49062178,0
1777225827749000,-0.003115914,0.03266409,-0.00070569105,0.0,0.0,-0.49029246,0
1777225827773000,-0.004734522,-0.023768712,-0.0006021138,0.0,0.0,-0.49057165,0
1777225827793000,-0.0024139215,-0.02327151,-0.0009720723,0.0,0.0,-0.4904267,0
1777225827813000,0.0009575223,-0.024767363,-0.0010116468,0.0,0.0,-0.49043345,0
