timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
1777226221541000,1777226221517000,6620172,490.7696,95567.484,15.0,1.1552031,0,1
1777226221593000,1777226221569000,6620172,490.62872,95569.07,15.0,1.1552223,0,1
1777226221645000,1777226221621000,6620172,490.5818,95569.62,15.0,1.1552289,0,1
1777226221697000,1777226221673000,6620172,490.48788,95570.7,15.0,1.155242,0,1
1777226221749000,1777226221725000,6620172,490.3658,95572.08,15.0,1.1552585,0,1
1777226221801000,1777226221777000,6620172,490.3564,95572.21,15.0,1.1552602,0,1
1777226221853000,1777226221829000,6620172,490.28598,95572.984,15.0,1.1552696,0,1
1777226221905000,1777226221881000,6620172,490.15924,95574.43,15.0,1.155287,0,1
1777226221957000,1777226221933000,6620172,490.06064,95575.59,15.0,1.1553011,0,1
1777226222009000,1777226221985000,6620172,490.02307,95576.04,15.0,1.1553065,0,1
1777226222061000,1777226222037000,6620172,489.93857,95577.0,15.0,1.1553181,0,1
1777226222113000,1777226222089000,6620172,489.88693,95577.59,15.0,1.1553253,0,1
1777226222165000,1777226222141000,6620172,489.76016,95579.05,15.0,1.1553428,0,1
1777226222217000,1777226222193000,6620172,489.69443,95579.79,15.0,1.1553518,0,1
1777226222269000,1777226222245000,6620172,489.5489,95581.43,15.0,1.1553715,0,1
1777226222321000,1777226222297000,6620172,489.48315,95582.195,15.0,1.155381,0,1
1777226222373000,1777226222349000,6620172,489.40332,95583.125,15.0,1.1553922,0,1
1777226222425000,1777226222401000,6620172,489.33762,95583.836,15.0,1.1554008,0,1
1777226222477000,1777226222453000,6620172,489.27658,95584.586,15.0,1.1554098,0,1
1777226222529000,1777226222505000,6620172,489.1404,95586.12,15.0,1.1554283,0,1
1777226222581000,1777226222557000,6620172,489.1263,95586.26,15.0,1.1554301,0,1
1777226222633000,1777226222609000,6620172,489.02774,95587.38,15.0,1.1554437,0,1
1777226222685000,1777226222661000,6620172,488.962,95588.164,15.0,1.1554531,0,1
1777226222737000,1777226222713000,6620172,488.8587,95589.37,15.0,1.1554675,0,1
1777226222789000,1777226222765000,6620172,488.83524,95589.63,15.0,1.1554708,0,1
1777226222841000,1777226222817000,6620172,488.685,95591.37,15.0,1.1554918,0,1
1777226222893000,1777226222869000,6620172,488.65683,95591.66,15.0,1.1554953,0,1
1777226222945000,1777226222921000,6620172,488.55823,95592.805,15.0,1.1555091,0,1
1777226222997000,1777226222973000,6620172,488.42676,95594.336,15.0,1.1555276,0,1
1777226223049000,1777226223025000,6620172,488.37982,95594.83,15.0,1.1555337,0,1
1777226223101000,1777226223077000,6620172,488.29532,95595.82,15.0,1.1555456,0,1
1777226223153000,1777226223129000,6620172,488.18732,95597.04,15.0,1.1555604,0,1
1777226223205000,1777226223181000,6620172,488.14975,95597.47,15.0,1.1555655,0,1
1777226223257000,1777226223233000,6620172,488.0934,95598.13,15.0,1.1555736,0,1
1777226223309000,1777226223285000,6620172,487.99484,95599.26,15.0,1.1555871,0,1
1777226223361000,1777226223337000,6620172,487.97134,95599.53,15.0,1.1555904,0,1
1777226223413000,1777226223389000,6620172,487.86337,95600.79,15.0,1.1556057,0,1
1777226223465000,1777226223441000,6620172,487.9338,95599.96,15.0,1.1555957,0,1
1777226223517000,1777226223493000,6620172,487.89154,95600.414,15.0,1.1556011,0,1
1777226223569000,1777226223545000,6620172,487.86807,95600.72,15.0,1.1556048,0,1
1777226223621000,1777226223597000,6620172,487.8164,95601.32,15.0,1.1556121,0,1
1777226223673000,1777226223649000,6620172,487.8258,95601.21,15.0,1.1556107,0,1
1777226223725000,1777226223701000,6620172,487.84457,95600.984,15.0,1.1556079,0,1
1777226223777000,1777226223753000,6620172,487.84457,95600.945,15.0,1.1556076,0,1
1777226223829000,1777226223805000,6620172,487.8211,95601.234,15.0,1.155611,0,1
1777226223881000,1777226223857000,6620172,487.9338,95599.97,15.0,1.1555957,0,1
1777226223933000,1777226223909000,6620172,487.9197,95600.11,15.0,1.1555974,0,1
1777226223985000,1777226223961000,6620172,487.86807,95600.68,15.0,1.1556044,0,1
1777226224037000,1777226224013000,6620172,487.85867,95600.82,15.0,1.155606,0,1
1777226224089000,1777226224065000,6620172,487.9338,95599.945,15.0,1.1555955,0,1
1777226224141000,1777226224117000,6620172,487.86337,95600.75,15.0,1.1556052,0,1
1777226224193000,1777226224169000,6620172,487.87744,95600.59,15.0,1.1556033,0,1
1777226224245000,1777226224221000,6620172,487.86337,95600.75,15.0,1.1556052,0,1
1777226224297000,1777226224273000,6620172,487.8164,95601.33,15.0,1.1556122,0,1
1777226224349000,1777226224325000,6620172,487.79764,95601.5,15.0,1.1556143,0,1
1777226224401000,1777226224377000,6620172,487.87744,95600.63,15.0,1.1556038,0,1
1777226224453000,1777226224429000,6620172,487.85867,95600.84,15.0,1.1556063,0,1
1777226224505000,1777226224481000,6620172,487.9197,95600.14,15.0,1.1555978,0,1
1777226224557000,1777226224533000,6620172,487.8352,95601.09,15.0,1.1556094,0,1
1777226224609000,1777226224585000,6620172,487.86807,95600.71,15.0,1.1556047,0,1
1777226224661000,1777226224637000,6620172,487.80704,95601.375,15.0,1.1556127,0,1
1777226224713000,1777226224689000,6620172,487.8258,95601.17,15.0,1.1556103,0,1
