timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
1777226886872000,1777226886714000,1777226886716000,0,-0.28231424,-0.005915815,0.3886181,0.0025000002,0.0025000002,0.0025000002,-0.0003725033,-0.00038096868,-0.00018668175,-0.00014527232,0.00015057469,-0.00020289891,0.0025117428,0.002512014,0.0025025848,6.1382216e-06,6.4179967e-06,1.5512779e-06,-0.0001155432,4.13155e-05,-1.7101474e-05,0,0,1
1777226886944000,1777226886782000,1777226886788000,0,-0.28308964,-0.004909367,0.38211757,0.0025000002,0.0025000002,0.0025000002,-0.00054345967,-0.0013673273,0.005625069,-0.00019294264,-3.1137402e-05,0.00049478386,0.002511863,0.0025120524,0.0025025967,1.3064602e-05,8.268531e-05,0.0014046929,-0.00010327464,2.6470334e-05,0.00015311335,0,0,1
1777226887008000,1777226886850000,1777226886852000,0,-0.28513637,-0.007322095,0.3861753,0.0025000002,0.0025000002,0.0025000002,0.0009222581,0.0010471479,0.0011385977,-5.94327e-05,9.793819e-05,0.0005719309,0.0025119158,0.0025120787,0.002502603,3.7623347e-05,4.8488324e-05,5.7617784e-05,-8.6406566e-05,2.910629e-05,0.00014168078,0,0,1
1777226887080000,1777226886918000,1777226886924000,0,-0.284656,0.0022206276,0.38941878,0.0025000002,0.0025000002,0.0025000002,5.637703e-06,-0.008575612,-0.0024192333,-5.1642583e-05,-0.0009404446,0.00021386438,0.0025119286,0.0025121071,0.0025025993,1.4059005e-09,0.003252742,0.0002597944,-7.606195e-05,-0.000363791,9.361685e-05,0,0,1
1777226887144000,1777226886986000,1777226886988000,0,-0.28649893,-0.006001416,0.38808477,0.0025000002,0.0025000002,0.0025000002,0.0015393993,-0.0003085034,-0.001309067,0.00013883424,-0.0008648126,3.1659205e-05,0.0025119334,0.0025121295,0.0025026028,0.00010482187,4.2147744e-06,7.596915e-05,-5.4406846e-05,-0.00032074316,7.33143e-05,0,0,1
1777226887216000,1777226887054000,1777226887060000,0,-0.29066247,-0.0046392875,0.3847346,0.0025000002,0.0025000002,0.0025000002,0.005685441,-0.0017364882,0.0020321012,0.0008028646,-0.00096925016,0.00027158973,0.0025118904,0.0025121616,0.0025026056,0.0014298324,0.00013347394,0.0001840046,0.00012328375,-0.0002983236,8.656595e-05,0,0,1
1777226887280000,1777226887122000,1777226887124000,0,-0.2840554,-0.0058299555,0.38685632,0.0025000002,0.0025000002,0.0025000002,-0.00086511835,-0.0004120483,-2.4110079e-05,0.00060317654,-0.0009025308,0.00023612972,0.002511828,0.0025121816,0.002502605,3.310691e-05,7.5056655e-06,2.688023e-08,0.00010456093,-0.00026350736,7.6199205e-05,0,0,1
1777226887352000,1777226887190000,1777226887196000,0,-0.28568247,-0.003555095,0.3861744,0.0025000002,0.0025000002,0.0025000002,0.0009955874,-0.0026468153,0.0008313358,0.0006501553,-0.0011113678,0.0003074712,0.002511727,0.0025121958,0.0025025944,4.3847405e-05,0.00030987762,3.0736635e-05,9.729241e-05,-0.00026905874,7.0756505e-05,0,0,1
1777226887416000,1777226887258000,1777226887260000,0,-0.2841814,-0.004637945,0.38698065,0.0025000002,0.0025000002,0.0025000002,-0.00014229154,-0.0013935538,0.00029960275,0.0005552849,-0.0011451489,0.00030652958,0.0025116177,0.0025122114,0.0025025913,8.9569903e-07,8.588938e-05,3.985365e-06,8.55375e-05,-0.00024713002,6.2762774e-05,0,0,1
1777226887488000,1777226887326000,1777226887332000,0,-0.28735614,-0.011490231,0.3877586,0.0025000002,0.0025000002,0.0025000002,0.0034947167,0.005690353,-0.00013643503,0.0009071887,-0.00032686332,0.00025373642,0.0025114974,0.0025122364,0.0025025895,0.0005403171,0.0014319002,8.0256564e-07,0.00013998293,-4.6119385e-05,5.515284e-05,0,0,1
