timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,nav_state_display,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,traffic_avoidance_system_present,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
1777227401433000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227401937000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227401973000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227402477000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227402981000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227403485000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227403989000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227404493000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227404997000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227405501000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227406005000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227406509000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227407013000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227407517000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777227408021000,1777227356549000,1777227358905000,1777227371181000,2147411327,8308095,0,2,4,6,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
