timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
1777225951369000,1777225951369000,0.44495285,0.44856676,0.44885832,0.4469858,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225951469000,1777225951469000,0.4496476,0.45454803,0.45102283,0.45299286,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225951569000,1777225951569000,0.4595229,0.45514238,0.45834514,0.4563956,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225951669000,1777225951669000,0.4584857,0.45973143,0.46066168,0.45777386,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225951769000,1777225951769000,0.4660412,0.45928466,0.4651541,0.45921522,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225951869000,1777225951869000,0.46448338,0.4618711,0.46059808,0.4646941,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225951969000,1777225951969000,0.46346408,0.46683893,0.46648902,0.46457222,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225952069000,1777225952069000,0.4669325,0.46430612,0.4693949,0.46390027,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225952169000,1777225952169000,0.47240463,0.46382833,0.47201264,0.4638284,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225952269000,1777225952269000,0.4668282,0.47011596,0.46660057,0.47068828,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225952369000,1777225952369000,0.47228384,0.46834528,0.46936783,0.47082534,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225952469000,1777225952469000,0.47251967,0.46945462,0.46825877,0.4718692,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225952569000,1777225952569000,0.47060248,0.47385794,0.47034696,0.473682,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225952669000,1777225952669000,0.47012758,0.47497794,0.47077054,0.47475848,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225952769000,1777225952769000,0.47298446,0.47564372,0.47007322,0.4769392,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225952869000,1777225952869000,0.47771332,0.4706264,0.4763563,0.4727443,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225952969000,1777225952969000,0.47383457,0.47821602,0.47377518,0.47828656,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225953069000,1777225953069000,0.47532365,0.4762316,0.4750153,0.47827014,nan,nan,nan,nan,nan,nan,nan,nan,0
1777225953169000,1777225953169000,0.4802704,0.47487566,0.48054147,0.4742333,nan,nan,nan,nan,nan,nan,nan,nan,0
