timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
1777318645455000,1777318645455000,1777318628819000,47.3977418,8.5455939,0.01365168,0.011841735,-0.031400092,0.02172532,-0.008037038,-0.019706387,-0.0050673266,0.010546945,-0.0075851167,-0.005496868,-0.0014785753,-0.0031188724,-0.0026691651,-0.029386485,0.0068038492,0.044059936,0.017634766,-0.0053592036,487.9712,0.10184597,0.12254914,0.1247949,0.08313992,0.07022257,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
1777318645959000,1777318645959000,1777318628819000,47.3977418,8.5455939,0.015492649,0.010957127,-0.03285109,0.02172532,-0.008037038,-0.019706387,0.0017970876,0.0117463,-0.005484707,-0.0033308119,-0.0014785753,-0.0031188724,-0.0026691651,0.022550626,0.052395117,-0.0072177495,0.01761091,-0.0053592036,487.9712,0.10066979,0.12165561,0.12396891,0.08239129,0.06980443,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
1777318646455000,1777318646455000,1777318628819000,47.3977418,8.5455939,0.015802931,0.00919651,-0.034260876,0.02172532,-0.008037038,-0.019706387,0.0019922098,0.011071408,-0.0042059557,-0.0024409462,-0.0014785753,-0.0031188724,-0.0026691651,0.06173015,-0.0053887013,0.0034859402,0.017934,-0.0053592036,487.9712,0.101055466,0.120375365,0.12286715,0.08135851,0.069214664,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
1777318646959000,1777318646959000,1777318628819000,47.3977418,8.5455939,0.016153637,0.0068138093,-0.034193005,0.02172532,-0.008037038,-0.019706387,0.0062527717,0.00743919,-0.005820266,-0.002798042,-0.0014785753,-0.0031188724,-0.0026691651,0.017241992,-0.066953994,0.06595346,0.018933909,-0.0053592036,487.9712,0.10119985,0.12223408,0.12457818,0.08271701,0.07011889,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
1777318647455000,1777318647455000,1777318628819000,47.3977418,8.5455939,0.016670814,0.005171946,-0.034620658,0.02172532,-0.008037038,-0.019706387,0.002479332,0.007052751,-0.004294093,-0.0008219876,-0.0014785753,-0.0031188724,-0.0026691651,0.018299032,0.010340112,-0.0028284264,0.019442875,-0.0053592036,487.9712,0.102157906,0.12097578,0.12348913,0.08172914,0.06954226,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
1777318647959000,1777318647959000,1777318628819000,47.3977418,8.5455939,0.01686803,0.0041245627,-0.031971626,0.02172532,-0.008037038,-0.019706387,0.0031133709,0.0030174444,-0.0034176628,0.0015065651,-0.0014785753,-0.0031188724,-0.0026691651,0.012297478,-0.0055261822,0.03932323,0.019534362,-0.0053592036,487.9712,0.10061046,0.12014663,0.1227112,0.08104364,0.06914103,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
1777318648455000,1777318648455000,1777318628819000,47.3977418,8.5455939,0.013905573,0.002182337,-0.029798584,0.02172532,-0.008037038,-0.019706387,0.00054305594,-0.0006768251,0.00049499207,0.005354338,-0.0014785753,-0.0031188724,-0.0026691651,0.03659122,0.02514058,0.02034474,0.018819489,-0.0053592036,487.9712,0.09967064,0.121566355,0.12403063,0.08205511,0.06982904,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
1777318648959000,1777318648959000,1777318628819000,47.3977418,8.5455939,0.013696501,0.0013171665,-0.030421643,0.02172532,-0.008037038,-0.019706387,-0.0010769817,-0.0020848948,-0.0017409757,0.00074219494,-0.0014785753,-0.0031188724,-0.0026691651,-0.001813154,-0.001057273,0.009586102,0.017287513,-0.0053592036,487.9712,0.09891444,0.12071862,0.12323809,0.08138189,0.069420725,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
1777318649455000,1777318649455000,1777318628819000,47.3977418,8.5455939,0.014132096,-0.00025269648,-0.032033842,0.02172532,-0.008037038,-0.019706387,-0.002717156,0.002354607,-0.002407319,-0.0013831755,-0.0014785753,-0.0031188724,-0.0026691651,0.017619273,0.035067365,-0.020201316,0.017294057,-0.0053592036,487.9712,0.09992285,0.12214884,0.124448314,0.082408376,0.07008962,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
1777318649959000,1777318649959000,1777318628819000,47.3977418,8.5455939,0.011235229,-0.00048886467,-0.031869803,0.02172532,-0.008037038,-0.019706387,-0.00480817,0.005249923,-0.0050245705,-0.002194295,-0.0014785753,-0.0031188724,-0.0026691651,-0.025615087,0.018279696,0.00074226403,0.016811188,-0.0053592036,487.9712,0.10227004,0.121341296,0.12391459,0.081804395,0.06976562,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
