timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
1777225945289000,1777225945135000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225945345000,1777225945187000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225945393000,1777225945239000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225945449000,1777225945291000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225945497000,1777225945343000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225945553000,1777225945395000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225945601000,1777225945447000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225945657000,1777225945499000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225945705000,1777225945551000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225945761000,1777225945603000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225945809000,1777225945655000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225945865000,1777225945707000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225945913000,1777225945759000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225945969000,1777225945811000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225946017000,1777225945863000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225946073000,1777225945915000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225946121000,1777225945967000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
1777225946177000,1777225946019000,0.0013979896,0.0004423065,0.0,1,0,0,0,0,0,0,0,0,0,0,0
