timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
1777318660023000,-0.006908818,0,0,0,0,0,0,0,0,0
1777318660527000,-0.01176061,0,0,0,0,0,0,0,0,0
1777318661031000,-0.012044076,0,0,0,0,0,0,0,0,0
1777318661535000,-0.011987012,0,0,0,0,0,0,0,0,0
1777318662039000,-0.013192726,0,0,0,0,0,0,0,0,0
1777318662543000,-0.012593431,0,0,0,0,0,0,0,0,0
1777318663047000,-0.015238644,0,0,0,0,0,0,0,0,0
1777318663551000,-0.0137664685,0,0,0,0,0,0,0,0,0
1777318664055000,-0.012904808,0,0,0,0,0,0,0,0,0
1777318664559000,-0.011687522,0,0,0,0,0,0,0,0,0
1777318665063000,-0.010621761,0,0,0,0,0,0,0,0,0
1777318665567000,-0.009302231,0,0,0,0,0,0,0,0,0
1777318666071000,-0.008423572,0,0,0,0,0,0,0,0,0
1777318666575000,-0.0068559772,0,0,0,0,0,0,0,0,0
1777318667079000,-0.0060704765,0,0,0,0,0,0,0,0,0
1777318667583000,-0.0057205674,0,0,0,0,0,0,0,0,0
1777318668087000,-0.0052413354,0,0,0,0,0,0,0,0,0
1777318668591000,-0.004920252,0,0,0,0,0,0,0,0,0
1777318669095000,-0.0042562787,0,0,0,0,0,0,0,0,0
1777318669599000,-0.003810959,0,0,0,0,0,0,0,0,0
1777318670103000,-0.0031969529,0,0,0,0,0,0,0,0,0
1777318670607000,-0.003050809,0,0,0,0,0,0,0,0,0
1777318671111000,-0.00310326,0,0,0,0,0,0,0,0,0
1777318671615000,-0.0024285011,0,0,0,0,0,0,0,0,0
1777318672119000,-0.0022976603,0,0,0,0,0,0,0,0,0
1777318672623000,-0.0022102634,0,0,0,0,0,0,0,0,0
1777318673127000,-0.002708685,0,0,0,0,0,0,0,0,0
1777318673415000,-0.0024042376,0,0,0,0,0,0,0,0,0
1777318673427000,-0.0024042376,0,0,0,0,0,0,0,0,0
1777318673439000,-0.0024042376,0,0,0,0,0,0,0,0,0
1777318673943000,-0.0022090448,0,0,0,0,0,0,0,0,0
1777318674447000,-0.0024991946,0,0,0,0,0,0,0,0,0
1777318674951000,-0.002110096,0,0,0,0,0,0,0,0,0
