timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
1777318637419000,-0.0027531763,-0.006832387,-0.0009864507,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318637619000,-0.004390727,-0.0074436553,0.00055070844,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318637811000,-0.0010763011,-0.0045263506,-0.0010908106,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318638019000,-0.0039342893,-0.0063554356,0.00023682788,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318638219000,-0.00072274014,-0.004331784,0.00016192048,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318638419000,-0.0024922297,-0.0042966628,-0.00059583643,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318638619000,-0.004599386,-0.004406787,0.001811705,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318638819000,-0.00054815,-0.0033497016,-0.0018799587,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318639019000,-0.004266518,-0.004384931,0.00067197357,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318639219000,-0.0016185981,-0.0033758674,-0.00044630558,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318639419000,-0.0063669034,-0.003406725,0.00052104663,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318639619000,-0.0063258335,-0.003476887,0.00016544138,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318639819000,2.6401307e-05,-0.0074102813,0.0015255545,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318640019000,-0.001805582,-0.0034059484,-0.000110237255,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318640211000,-0.0011916221,-0.001731026,-0.0012556891,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318640411000,0.0021421718,-0.0041565388,0.0004937763,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318640611000,-0.0016654064,-0.0011461237,-0.0015246152,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318640819000,-0.0039469264,-0.006738456,-0.00033590372,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318641019000,-0.0038193509,-0.0042226384,-0.002645798,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318641219000,-0.0037947872,-0.0025320293,0.0022652035,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318641419000,-0.00185133,-0.0020627151,-0.00015840535,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318641619000,-0.0039543607,-0.0029255971,-0.0010900953,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318641819000,-0.0019605833,-0.006122197,-0.0009797176,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318642019000,0.0026021728,-0.00024725078,0.00052334386,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318642211000,-0.0031211658,-0.0035275163,-0.001338913,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318642411000,-0.004654515,-0.0040126476,-0.00071019126,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318642619000,-0.005268525,-0.007162575,-0.00048068748,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318642819000,-0.0060521793,-0.0009791749,0.000562963,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318643011000,-0.003824738,-0.0022160395,-0.00061032904,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318643211000,-0.00554567,-0.005744056,0.001484046,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318643419000,-0.00812339,-0.00177258,-0.0015628919,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318643619000,-0.004992437,-0.0018712193,-0.0010979015,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318643819000,-0.004844668,-0.0012710565,-0.0013768057,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318644019000,-0.0056610787,-0.0022772504,-0.002265541,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318644219000,-0.0010958709,-0.0057591433,-0.0011475658,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318644411000,-0.007374018,-0.0022162884,-0.00011898067,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318644619000,-0.005979236,-0.004985,-0.0002965294,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318644811000,-0.0032936928,-0.004401953,-0.0009016657,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318645019000,-0.004506926,-0.0058010006,-0.00041065854,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318645211000,-0.0061626765,-0.0010719147,0.0002855509,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318645419000,-0.006092778,-0.0021000467,-0.000986868,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318645619000,-0.0051431064,-0.0026304096,-0.00089361967,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318645811000,-0.004068729,-0.004926035,0.00080530765,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318646019000,-0.008967286,-0.002463276,-0.0005325712,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318646211000,-0.0040679257,-0.00034501823,-0.0017787033,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318646419000,-0.0029914423,-0.0021510418,0.00037199009,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318646619000,-0.005225815,-0.002152083,0.00151949,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318646819000,0.0015546395,-0.004359553,0.00034266184,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318647019000,-0.0022562547,-0.0015880764,-0.00015553276,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318647211000,-0.003235952,-0.0023477664,0.0010421207,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318647419000,-0.003153248,-0.0027357684,-0.0007433345,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318647611000,-0.0075875893,-0.004596849,-0.0014792745,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318647811000,6.299379e-05,-0.0013273072,-0.0013764581,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318648019000,-0.00049941475,-0.0019376755,-0.0003232766,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318648219000,0.0019310281,-0.005144703,-0.00035095334,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318648419000,-0.0034632492,1.1641532e-10,0.0006063845,0.0,0.0,-1.1641532e-10,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318648619000,-0.000556631,-0.003378629,-0.00039269924,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318648819000,-0.0018120746,-0.0016554954,0.00070939877,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318649019000,-0.00041310396,1.1641532e-10,0.00042675802,0.0,0.0,0.0,0,1,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318649219000,-0.0019299751,-0.0029466155,-0.00078278215,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318649419000,-0.0031163432,-0.0048923055,0.0014192828,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318649619000,-0.0039076637,-0.0035414004,0.0005517313,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318649819000,-0.00306489,-0.0042733448,0.0011738032,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318650019000,-0.0030203229,-0.0023366536,0.0010297983,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318650219000,-0.0038045614,-0.00905539,0.00042182123,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318650419000,-0.0018967618,-0.0043660966,-0.0011594084,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318650619000,-0.002884697,-0.0015672455,-0.0006657137,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318650819000,-0.001399365,-0.0007979097,0.0014742453,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318651011000,-0.0035040358,-0.005915666,0.0009114953,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318651219000,-0.0062031713,-0.0030024427,-0.00015006599,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318651419000,-0.0047029643,-0.0039489856,0.0022759829,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318651619000,-0.0008284726,-0.0023195073,-0.0016644092,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318651819000,-0.0032120324,-0.003950816,5.8023375e-05,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318652019000,-0.0008109982,-0.005330633,-0.002535599,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318652219000,-0.003483106,-0.002118982,0.001399167,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318652419000,-0.001119923,-0.0002929779,-0.00065796083,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318652619000,-0.006227067,-0.004373395,0.00032174744,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318652819000,-0.0035241048,-0.0061902944,0.00022327366,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318653011000,-0.0067516095,-0.004211893,-0.00066169613,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318653219000,-0.005893104,-0.004229832,-0.00068481296,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318653419000,-0.0006493633,-0.0037970552,0.0011380555,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318653619000,-0.0022694063,-0.0053833295,-0.00073504995,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318653819000,-0.0033250693,-0.005292316,-0.0010174646,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777318654019000,-0.0038024196,-0.005223563,0.00010611801,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
