timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
1777318669327000,1777318669327000,0.4908925,2.9919522e-06,0.01769921,1.0011961,3.476531e-05,1.0,1
1777318669431000,1777318669431000,0.49087685,2.956856e-06,-0.0022292947,1.00118,5.515442e-07,1.0,1
1777318669535000,1777318669535000,0.49087182,2.9228588e-06,-0.016916065,1.0011661,3.175777e-05,1.0,1
1777318669631000,1777318669631000,0.49086863,2.8923735e-06,-0.021248324,1.0011543,5.0107858e-05,1.0,1
1777318669727000,1777318669727000,0.49085814,2.8627146e-06,0.01691968,1.0011418,3.177212e-05,1.0,1
1777318669831000,1777318669831000,0.49086052,2.8315033e-06,-0.045424957,1.0011294,0.000229011,1.0,1
1777318669935000,1777318669935000,0.4908641,2.8011557e-06,0.05071092,1.0011182,0.00028541393,1.0,1
1777318670031000,1777318670031000,0.49085614,2.7739386e-06,0.037091523,1.001107,0.00015269553,1.0,1
1777318670135000,1777318670135000,0.49087432,2.7452113e-06,0.033959914,1.001098,0.00012800121,1.0,1
1777318670231000,1777318670231000,0.49087948,2.7193628e-06,-0.06220038,1.0010878,0.00042940924,1.0,1
1777318670335000,1777318670335000,0.4908755,2.6921157e-06,-0.018175147,1.0010762,3.666454e-05,1.0,1
1777318670431000,1777318670431000,0.49087435,2.6676382e-06,-0.0001237021,1.0010662,1.6984348e-09,1.0,1
1777318670527000,1777318670527000,0.4908834,2.6437804e-06,0.01889771,1.0010576,3.9638464e-05,1.0,1
1777318670631000,1777318670631000,0.49089703,2.6185762e-06,-0.025044985,1.0010482,6.962161e-05,1.0,1
1777318670735000,1777318670735000,0.49090946,2.594006e-06,0.06497837,1.0010393,0.000468645,1.0,1
1777318670831000,1777318670831000,0.49090683,2.5719446e-06,-0.010458775,1.0010287,1.2141507e-05,1.0,1
1777318670927000,1777318670927000,0.49091825,2.5504407e-06,0.014030246,1.0010202,2.1849686e-05,1.0,1
1777318671031000,1777318671031000,0.49091995,2.5277457e-06,0.018442055,1.0010102,3.7751797e-05,1.0,1
1777318671135000,1777318671135000,0.49091396,2.505682e-06,0.007949837,1.0009993,7.0152005e-06,1.0,1
1777318671231000,1777318671231000,0.49092013,2.4858407e-06,-0.028274972,1.0009916,8.874245e-05,1.0,1
1777318671327000,1777318671327000,0.4909191,2.4664685e-06,0.0010696878,1.0009841,1.270119e-07,1.0,1
1777318671431000,1777318671431000,0.49092585,2.445976e-06,0.006102256,1.0009768,4.1334656e-06,1.0,1
1777318671535000,1777318671535000,0.49093857,2.4259668e-06,-0.0013775828,1.0009698,2.1065509e-07,1.0,1
1777318671631000,1777318671631000,0.49093077,2.407926e-06,0.0019112453,1.0009613,4.0548338e-07,1.0,1
1777318671735000,1777318671735000,0.49092862,2.3888906e-06,0.04419524,1.0009531,0.0002168177,1.0,1
1777318671831000,1777318671831000,0.49092168,2.3717598e-06,0.023891784,1.0009451,6.336426e-05,1.0,1
1777318671935000,1777318671935000,0.49092403,2.3536443e-06,0.0019242326,1.0009378,4.1102243e-07,1.0,1
1777318672031000,1777318672031000,0.49092323,2.337314e-06,0.009576045,1.0009314,1.01794785e-05,1.0,1
1777318672135000,1777318672135000,0.49092978,2.3200234e-06,-0.027950916,1.0009247,8.672577e-05,1.0,1
1777318672231000,1777318672231000,0.49092242,2.3044213e-06,0.0066711535,1.0009179,4.9403866e-06,1.0,1
1777318672335000,1777318672335000,0.49093413,2.2878971e-06,-0.01050215,1.0009128,1.2243841e-05,1.0,1
1777318672431000,1777318672431000,0.49094304,2.2729553e-06,-0.04024188,1.0009079,0.0001797711,1.0,1
1777318672535000,1777318672535000,0.49095786,2.2570837e-06,-0.009188265,1.0009028,9.372006e-06,1.0,1
1777318672631000,1777318672631000,0.49096403,2.2427525e-06,-0.0026075547,1.0008972,7.5480517e-07,1.0,1
1777318672727000,1777318672727000,0.49096227,2.2287438e-06,-0.03274814,1.0008905,0.00011905405,1.0,1
1777318672831000,1777318672831000,0.4909637,2.2139202e-06,-0.05076466,1.0008839,0.00028608608,1.0,1
1777318672935000,1777318672935000,0.49096736,2.1994335e-06,0.015385641,1.0008783,2.627891e-05,1.0,1
1777318673031000,1777318673031000,0.49096802,2.1863643e-06,0.03031057,1.000873,0.00010199215,1.0,1
