timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
1777225947029000,1777225946965000,197388,0.21831238,0.0059810886,0.42860344,0
1777225947033000,1777225947033000,197388,0.21702729,-0.0035732132,0.4279183,0
1777225947165000,1777225947101000,197388,0.21590312,0.0072202096,0.4269339,0
1777225947169000,1777225947169000,197388,0.2213719,0.0058518383,0.42776173,0
1777225947301000,1777225947237000,197388,0.21665591,0.00593244,0.4285791,0
1777225947305000,1777225947305000,197388,0.2160771,-0.00061235746,0.4293314,0
1777225947437000,1777225947373000,197388,0.21659918,0.007849202,0.42992926,0
1777225947441000,1777225947441000,197388,0.21785817,0.010338386,0.4235229,0
1777225947573000,1777225947509000,197388,0.2177923,0.007025423,0.42930037,0
1777225947577000,1777225947577000,197388,0.21271977,0.01324942,0.42751876,0
1777225947709000,1777225947645000,197388,0.21686113,0.005500083,0.4307557,0
1777225947713000,1777225947713000,197388,0.22350183,0.006727702,0.43137887,0
1777225947845000,1777225947781000,197388,0.21686062,0.004542507,0.42864946,0
1777225947849000,1777225947849000,197388,0.20742445,0.01953262,0.4259678,0
1777225947981000,1777225947917000,197388,0.21794927,0.0059219515,0.4271737,0
1777225947985000,1777225947985000,197388,0.22017658,-0.0009810256,0.43609113,0
1777225948117000,1777225948053000,197388,0.21786453,0.0031523197,0.42740348,0
1777225948121000,1777225948121000,197388,0.22108698,0.01144496,0.4249174,0
1777225948253000,1777225948189000,197388,0.21648178,0.0048846398,0.42855486,0
1777225948257000,1777225948257000,197388,0.22295722,0.0057244743,0.43360284,0
1777225948389000,1777225948325000,197388,0.21572185,0.0056967936,0.42939323,0
1777225948393000,1777225948393000,197388,0.21792465,0.0047333953,0.42725143,0
1777225948525000,1777225948461000,197388,0.21623838,0.004694158,0.428614,0
1777225948529000,1777225948529000,197388,0.2129185,0.019848363,0.42812046,0
1777225948661000,1777225948597000,197388,0.21737878,0.0053883055,0.4303215,0
1777225948665000,1777225948665000,197388,0.20802672,0.005488681,0.43621734,0
1777225948797000,1777225948733000,197388,0.21589464,0.0035848054,0.43054745,0
1777225948801000,1777225948801000,197388,0.21611932,0.007436872,0.42125642,0
1777225948933000,1777225948869000,197388,0.21618555,0.0066320654,0.42921025,0
1777225948937000,1777225948937000,197388,0.21517834,-0.00023290234,0.42902145,0
1777225949069000,1777225949005000,197388,0.21315603,0.0044265874,0.43047532,0
1777225949073000,1777225949073000,197388,0.2191734,0.003276424,0.42870623,0
1777225949205000,1777225949141000,197388,0.214147,0.0053882827,0.43016186,0
1777225949209000,1777225949209000,197388,0.2088265,0.007475869,0.4362803,0
1777225949341000,1777225949277000,197388,0.21438774,0.006644014,0.42999676,0
1777225949345000,1777225949345000,197388,0.21904191,0.0061919577,0.4262942,0
1777225949477000,1777225949413000,197388,0.21545048,0.0047053304,0.43032122,0
1777225949481000,1777225949481000,197388,0.20711151,0.0057886494,0.42824134,0
1777225949613000,1777225949549000,197388,0.21392319,0.0056988727,0.43118474,0
1777225949617000,1777225949617000,197388,0.20833842,0.01697918,0.43418163,0
1777225949749000,1777225949685000,197388,0.21390784,0.0034540622,0.4307173,0
1777225949753000,1777225949753000,197388,0.21710756,0.005042637,0.43501806,0
1777225949885000,1777225949821000,197388,0.21499673,0.003458854,0.42978504,0
1777225949889000,1777225949889000,197388,0.20550223,0.00051649276,0.42959106,0
1777225950021000,1777225949957000,197388,0.21228962,0.004855779,0.43100274,0
1777225950025000,1777225950025000,197388,0.20950346,0.005851692,0.42284867,0
1777225950157000,1777225950093000,197388,0.21555284,0.0043916344,0.4307488,0
