timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
1777318654831000,1777318654831000,1310988,-0.06943185,0.007182605,-9.832987,0.0,0,0,0,0,1
1777318655831000,1777318655831000,1310988,-0.01436521,0.02873042,-9.813833,0.0,0,0,0,0,1
1777318656831000,1777318656831000,1310988,-0.011971008,-0.019153614,-9.715671,0.0,0,0,0,0,1
1777318657831000,1777318657831000,1310988,0.023942016,0.04070143,-9.77792,0.0,0,0,0,0,1
1777318658831000,1777318658831000,1310988,-0.01436521,0.009576807,-10.3214035,0.0,0,0,0,0,1
1777318659831000,1777318659831000,1310988,0.02633622,0.023942016,-10.58716,0.0,0,0,0,0,1
1777318660831000,1777318660831000,1310988,-0.06943185,0.0,-9.423578,0.0,0,0,0,0,1
1777318661831000,1777318661831000,1310988,-0.05267244,-0.05746084,-9.148245,0.0,0,0,0,0,1
1777318662831000,1777318662831000,1310988,-0.035913024,-0.05746084,-10.06283,0.0,0,0,0,0,1
1777318663831000,1777318663831000,1310988,-0.34476504,0.0023942017,-10.1226845,0.0,0,0,0,0,1
1777318664831000,1777318664831000,1310988,-0.37828386,-0.047884032,-10.041282,0.0,0,0,0,0,1
1777318665831000,1777318665831000,1310988,-0.21547815,0.007182605,-9.713276,0.0,0,0,0,0,1
1777318666831000,1777318666831000,1310988,-0.36152446,0.0023942017,-9.765948,0.0,0,0,0,0,1
1777318667831000,1777318667831000,1310988,-0.30645782,-0.06703765,-9.840169,0.0,0,0,0,0,1
1777318668831000,1777318668831000,1310988,-0.1604115,-0.06703765,-9.797073,0.0,0,0,0,0,1
1777318669831000,1777318669831000,1310988,-0.22026655,-0.033518825,-9.739613,0.0,0,0,0,0,1
1777318670831000,1777318670831000,1310988,-0.22984336,0.076614454,-9.787497,0.0,0,0,0,0,1
1777318671831000,1777318671831000,1310988,-0.29448682,-0.031124622,-9.787497,0.0,0,0,0,0,1
1777318672831000,1777318672831000,1310988,-0.25617957,-0.04309563,-9.775525,0.0,0,0,0,0,1
1777318673831000,1777318673831000,1310988,-0.2801216,-0.011971008,-10.043676,0.0,0,0,0,0,1
1777318674831000,1777318674831000,1310988,-0.05746084,0.05267244,-10.548853,0.0,0,0,0,0,1
