timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
1777318637931000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318638435000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318638939000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318639443000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318639947000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318640451000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318640955000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318641459000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318641963000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318642467000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318642971000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318643475000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318643979000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318644483000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318644987000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318645491000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318645995000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318646499000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318647003000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318647507000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318648011000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318648515000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318649019000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318649523000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318650027000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318650531000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318651035000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318651539000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318652043000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318652547000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318653051000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318653555000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318653963000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318653975000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318654479000,0,1,0,1,0,1,1,0,1,1,1,1,0
1777318654971000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318654983000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318655487000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318655991000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318656495000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318656999000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318657503000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318658007000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318658511000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318659015000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318659519000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318660023000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318660527000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318661031000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318661535000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318662039000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318662543000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318663047000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318663551000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318664055000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318664559000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318665063000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318665567000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318666071000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318666575000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318667079000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318667583000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318668087000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318668591000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318669095000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318669599000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318670103000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318670607000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318671111000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318671615000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318672119000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318672623000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318673127000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318673415000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318673427000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318673439000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318673943000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318674447000,1,1,0,1,0,1,1,0,1,1,1,1,0
1777318674951000,1,1,0,1,0,1,1,0,1,1,1,1,0
