timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1777318628219000,0.0,0.0,0.0,0.0
1777318628419000,0.0,0.0,0.0,0.0
1777318628619000,0.0,0.0,0.0,0.0
1777318628819000,0.0,0.0,0.0,0.0
1777318629019000,0.0,0.0,0.0,0.0
1777318629219000,0.0,0.0,0.0,0.0
1777318629419000,0.0,0.0,0.0,0.0
1777318629619000,0.0,0.0,0.0,0.0
1777318629819000,0.0,0.0,0.0,0.0
1777318630019000,0.0,0.0,0.0,0.0
1777318630219000,0.0,0.0,0.0,0.0
1777318630419000,0.0,0.0,0.0,0.0
1777318630615000,0.0,0.0,0.0,0.0
1777318630819000,0.0,0.0,0.0,0.0
1777318631019000,0.0,0.0,0.0,0.0
1777318631219000,0.0,0.0,0.0,0.0
1777318631419000,0.0,0.0,0.0,0.0
1777318631619000,0.0,0.0,0.0,0.0
1777318631819000,0.0,0.0,0.0,0.0
1777318632019000,0.0,0.0,0.0,0.0
1777318632219000,0.0,0.0,0.0,0.0
1777318632419000,0.0,0.0,0.0,0.0
1777318632619000,0.0,0.0,0.0,0.0
1777318632819000,0.0,0.0,0.0,0.0
1777318633019000,0.0,0.0,0.0,0.0
1777318633219000,0.0,0.0,0.0,0.0
1777318633419000,0.0,0.0,0.0,0.0
1777318633619000,0.0,0.0,0.0,0.0
1777318633819000,0.0,0.0,0.0,0.0
1777318634019000,0.0,0.0,0.0,0.0
1777318634219000,0.0,0.0,0.0,0.0
1777318634419000,0.0,0.0,0.0,0.0
1777318634619000,0.0,0.0,0.0,0.0
1777318634819000,0.0,0.0,0.0,0.0
1777318635019000,0.0,0.0,0.0,0.0
1777318635219000,0.0,0.0,0.0,0.0
1777318635419000,0.0,0.0,0.0,0.0
1777318635619000,0.0,0.0,0.0,0.0
1777318635819000,0.0,0.0,0.0,0.0
1777318636019000,0.0,0.0,0.0,0.0
1777318636219000,0.0,0.0,0.0,0.0
1777318636419000,0.0,0.0,0.0,0.0
1777318636619000,0.0,0.0,0.0,0.0
1777318636819000,0.0,0.0,0.0,0.0
1777318637019000,0.0,0.0,0.0,0.0
1777318637219000,0.0,0.0,0.0,0.0
1777318637419000,0.0,0.0,0.0,0.0
