timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho,calibration_count
1777318624947000,1777318624901000,6620172,488.06995,0.0,95598.41,1.1358672,0
1777318624951000,1777318624951000,6620172,487.9995,0.0,95599.19,1.1358764,0
1777318625047000,1777318625001000,6620172,488.06995,0.0,95598.4,1.1358671,0
1777318625051000,1777318625051000,6620172,488.15915,0.0,95597.375,1.135855,0
1777318625147000,1777318625101000,6620172,488.1075,0.0,95597.945,1.1358616,0
1777318625151000,1777318625151000,6620172,488.1028,0.0,95598.01,1.1358625,0
1777318625247000,1777318625201000,6620172,488.03708,0.0,95598.74,1.1358712,0
1777318625251000,1777318625251000,6620172,488.20142,0.0,95596.89,1.1358492,0
1777318625347000,1777318625301000,6620172,488.03708,0.0,95598.77,1.1358715,0
1777318625351000,1777318625351000,6620172,488.14975,0.0,95597.48,1.1358562,0
1777318625447000,1777318625401000,6620172,488.06055,0.0,95598.48,1.1358681,0
1777318625451000,1777318625451000,6620172,488.14038,0.0,95597.61,1.1358577,0
1777318625547000,1777318625501000,6620172,488.0887,0.0,95598.16,1.1358643,0
1777318625551000,1777318625551000,6620172,488.023,0.0,95598.93,1.1358734,0
1777318625647000,1777318625601000,6620172,488.1028,0.0,95597.98,1.1358621,0
1777318625651000,1777318625651000,6620172,487.98544,0.0,95599.36,1.1358786,0
1777318625747000,1777318625701000,6620172,488.0934,0.0,95598.09,1.1358634,0
1777318625751000,1777318625751000,6620172,487.99014,0.0,95599.33,1.1358781,0
1777318625847000,1777318625801000,6620172,488.0981,0.0,95598.055,1.1358631,0
1777318625851000,1777318625851000,6620172,488.22488,0.0,95596.61,1.1358459,0
1777318625947000,1777318625901000,6620172,488.07935,0.0,95598.26,1.1358654,0
1777318625951000,1777318625951000,6620172,487.98544,0.0,95599.38,1.1358788,0
1777318626047000,1777318626001000,6620172,488.06995,0.0,95598.41,1.1358672,0
1777318626051000,1777318626051000,6620172,488.12158,0.0,95597.805,1.13586,0
1777318626151000,1777318626151000,6620172,488.16385,0.0,95597.305,1.1358541,0
1777318626247000,1777318626201000,6620172,488.0887,0.0,95598.21,1.1358649,0
1777318626251000,1777318626251000,6620172,488.0136,0.0,95599.01,1.1358744,0
1777318626347000,1777318626301000,6620172,488.05118,0.0,95598.62,1.1358697,0
1777318626351000,1777318626351000,6620172,487.90094,0.0,95600.305,1.1358898,0
1777318626447000,1777318626401000,6620172,488.1028,0.0,95597.97,1.135862,0
1777318626451000,1777318626451000,6620172,487.915,0.0,95600.15,1.1358879,0
1777318626547000,1777318626501000,6620172,488.1075,0.0,95597.945,1.1358616,0
1777318626551000,1777318626551000,6620172,487.99484,0.0,95599.24,1.1358771,0
1777318626647000,1777318626601000,6620172,488.0934,0.0,95598.15,1.1358641,0
1777318626651000,1777318626651000,6620172,487.9338,0.0,95599.914,1.1358851,0
1777318626747000,1777318626701000,6620172,488.1122,0.0,95597.93,1.1358615,0
1777318626751000,1777318626751000,6620172,488.06055,0.0,95598.51,1.1358684,0
1777318626847000,1777318626801000,6620172,488.0981,0.0,95598.03,1.1358627,0
1777318626851000,1777318626851000,6620172,488.21548,0.0,95596.71,1.1358471,0
1777318626951000,1777318626951000,6620172,488.17325,0.0,95597.22,1.1358532,0
1777318627047000,1777318627001000,6620172,488.06055,0.0,95598.49,1.1358682,0
1777318627051000,1777318627051000,6620172,488.17325,0.0,95597.23,1.1358532,0
1777318627147000,1777318627101000,6620172,488.07465,0.0,95598.35,1.1358665,0
1777318627151000,1777318627151000,6620172,488.02768,0.0,95598.91,1.1358731,0
1777318627247000,1777318627201000,6620172,488.0934,0.0,95598.09,1.1358634,0
1777318627251000,1777318627251000,6620172,487.79294,0.0,95601.58,1.1359049,0
1777318627347000,1777318627301000,6620172,488.06995,0.0,95598.37,1.1358668,0
1777318627351000,1777318627351000,6620172,488.16385,0.0,95597.31,1.1358541,0
1777318627447000,1777318627401000,6620172,488.05588,0.0,95598.555,1.1358689,0
1777318627451000,1777318627451000,6620172,488.1169,0.0,95597.87,1.1358608,0
1777318627547000,1777318627501000,6620172,488.08405,0.0,95598.24,1.1358652,0
1777318627551000,1777318627551000,6620172,488.25775,0.0,95596.234,1.1358414,0
1777318627647000,1777318627601000,6620172,488.06995,0.0,95598.375,1.1358668,0
1777318627651000,1777318627651000,6620172,487.94318,0.0,95599.82,1.1358839,0
1777318627747000,1777318627701000,6620172,488.07465,0.0,95598.31,1.135866,0
1777318627751000,1777318627751000,6620172,488.23428,0.0,95596.516,1.1358447,0
1777318627847000,1777318627801000,6620172,488.0887,0.0,95598.21,1.1358649,0
1777318627851000,1777318627851000,6620172,488.19202,0.0,95597.02,1.1358508,0
1777318627947000,1777318627901000,6620172,488.06995,0.0,95598.38,1.1358669,0
